HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,string,6,199,2,0.000183528
EquiHeightHistogram,int,12,199,5,0.000124295
EquiHeightHistogram,int,13,198,5,9.1317e-05
EquiHeightHistogram,string,22,42,5,0.000393668
EquiHeightHistogram,string,27,24,5,0.000450797
EquiHeightHistogram,string,4,20,5,0.000309501
EquiHeightHistogram,string,21,24,5,0.000874325
EquiHeightHistogram,string,3,20,4,0.0003431
EquiHeightHistogram,string,22,24,5,0.000641285
EquiHeightHistogram,string,25,24,3,0.00061408
EquiHeightHistogram,string,26,24,3,0.000659335
EquiHeightHistogram,string,10,495,1,0.0003036
EquiHeightHistogram,string,8,200,1,0.000237429
EquiHeightHistogram,int,0,20,5,0.000399644
EquiHeightHistogram,string,14,493,1,0.000304587
EquiHeightHistogram,string,13,491,1,0.000357455
EquiHeightHistogram,string,17,24,5,1.2867e-05
EquiHeightHistogram,int,10,198,5,0.000576915
EquiHeightHistogram,string,2,200,4,5.9182e-05
EquiHeightHistogram,int,12,24,5,3.3163e-05
EquiHeightHistogram,float,24,42,2,0.000304616
EquiHeightHistogram,string,11,24,5,3.2013e-05
EquiHeightHistogram,string,7,24,3,1.3562e-05
EquiHeightHistogram,string,12,42,5,8.1154e-05
EquiHeightHistogram,string,11,492,1,0.000448198
EquiHeightHistogram,string,3,100,3,2.6093e-05
EquiHeightHistogram,string,15,24,5,7.8792e-05
EquiHeightHistogram,string,2,24,4,3.842e-05
EquiHeightHistogram,int,16,24,5,5.9319e-05
EquiHeightHistogram,int,0,200,5,6.6478e-05
EquiHeightHistogram,string,1,24,5,1.3496e-05
EquiHeightHistogram,string,2,42,4,5.1565e-05
EquiHeightHistogram,int,5,24,5,4.2834e-05
EquiHeightHistogram,int,0,500,5,0.000205272
EquiHeightHistogram,string,6,24,5,5.1134e-05
EquiHeightHistogram,string,16,42,5,0.0010591
EquiHeightHistogram,string,14,42,5,6.5067e-05
EquiHeightHistogram,int,3,493,5,0.000285835
EquiHeightHistogram,int,4,491,5,0.00035576
EquiHeightHistogram,string,16,497,5,0.00133677
EquiHeightHistogram,int,6,490,1,7.1492e-05
EquiHeightHistogram,string,4,42,5,1.4555e-05
EquiHeightHistogram,string,15,494,1,0.000118526
EquiHeightHistogram,string,20,42,3,0.000206019
EquiHeightHistogram,float,5,492,1,2.6073e-05
EquiHeightHistogram,string,24,24,5,0.000323616
EquiHeightHistogram,int,6,35,5,0.000133575
EquiHeightHistogram,string,10,42,5,0.000118741
EquiHeightHistogram,string,14,24,5,0.000117298
EquiHeightHistogram,int,0,42,5,3.9801e-05
EquiHeightHistogram,string,5,20,5,0.000318904
EquiHeightHistogram,string,12,492,1,0.0003036
EquiHeightHistogram,string,18,42,5,0.00032709
EquiHeightHistogram,string,8,42,5,2.6114e-05
EquiHeightHistogram,int,2,493,5,0.000823716
EquiHeightHistogram,int,4,199,5,0.000581412
EquiHeightHistogram,int,7,53,5,0.000299512
EquiHeightHistogram,string,2,20,5,0.000146875
EquiHeightHistogram,string,1,20,5,0.000274432
EquiHeightHistogram,string,9,494,1,0.000544865
EquiHeightHistogram,string,23,24,5,0.000454853
EquiHeightHistogram,string,4,9,5,0.0001093
EquiHeightHistogram,string,13,24,5,8.6667e-05
EquiHeightHistogram,float,13,9,1,2.403e-05
EquiHeightHistogram,string,3,12,3,1.4512e-05
EquiHeightHistogram,int,3,9,5,5.4755e-05
EquiHeightHistogram,int,5,86400,43,0.000637072
