HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,1,20,5,0.000519466
EqualDistinctCountHistogram,string,18,42,5,0.000207088
EqualDistinctCountHistogram,string,11,10,5,9.195e-05
EqualDistinctCountHistogram,string,16,42,5,0.000242595
EqualDistinctCountHistogram,string,26,24,3,0.000295921
EqualDistinctCountHistogram,string,4,9,5,0.000344315
EqualDistinctCountHistogram,string,1,10,5,4.1469e-05
EqualDistinctCountHistogram,string,22,42,5,0.000367184
EqualDistinctCountHistogram,string,7,9,5,0.000257028
EqualDistinctCountHistogram,string,8,42,5,7.0803e-05
EqualDistinctCountHistogram,string,3,20,4,0.000334609
EqualDistinctCountHistogram,string,6,9,5,0.00049431
EquiWidthHistogram,int,6,35,5,6.4922e-05
EqualDistinctCountHistogram,string,12,42,5,0.000110982
EquiWidthHistogram,int,16,24,5,6.8456e-05
EqualDistinctCountHistogram,string,21,24,5,0.000617668
EqualDistinctCountHistogram,string,5,9,5,0.000448869
EqualDistinctCountHistogram,string,2,42,4,6.5957e-05
EqualDistinctCountHistogram,string,6,24,5,7.6298e-05
EquiWidthHistogram,float,24,42,2,0.000615908
EqualDistinctCountHistogram,string,11,24,5,6.837e-05
EquiWidthHistogram,int,10,198,5,0.0013064
EqualDistinctCountHistogram,string,1,24,5,2.0848e-05
EqualDistinctCountHistogram,string,25,24,3,0.00117365
EquiWidthHistogram,int,12,199,5,0.00101593
EquiWidthHistogram,int,0,200,5,0.000109375
EqualDistinctCountHistogram,string,14,42,5,0.000613842
EquiWidthHistogram,int,11,198,5,0.00115061
EqualDistinctCountHistogram,string,15,24,5,0.000369083
EqualDistinctCountHistogram,string,4,42,5,0.000106631
EqualDistinctCountHistogram,string,11,492,1,0.000124083
EquiWidthHistogram,int,3,86400,24,0.00216222
EqualDistinctCountHistogram,string,17,494,1,0.000139501
EqualDistinctCountHistogram,string,2,200,4,0.000365359
EqualDistinctCountHistogram,string,10,495,1,0.000144167
EqualDistinctCountHistogram,string,13,491,1,0.000161862
EqualDistinctCountHistogram,string,7,490,5,5.8747e-05
EquiWidthHistogram,int,4,199,5,0.000385258
EquiWidthHistogram,int,5,24,5,0.000369417
EquiWidthHistogram,int,3,493,5,0.000328525
EquiWidthHistogram,int,0,500,5,0.000393758
EqualDistinctCountHistogram,string,28,24,1,0.000675396
EqualDistinctCountHistogram,string,8,10,4,0.000422492
EquiWidthHistogram,float,13,9,1,0.000363647
EquiWidthHistogram,int,18,24,5,0.000215332
EquiWidthHistogram,int,3,9,5,8.6934e-05
EqualDistinctCountHistogram,string,1,200,5,0.00127865
EquiWidthHistogram,int,5,86400,43,0.00314727
EqualDistinctCountHistogram,string,18,490,1,0.000451348
EqualDistinctCountHistogram,string,1,500,5,0.00131571
