HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,int,4,199,5,0.000275814
GDYHistogram,float,24,42,2,0.000273708
GDYHistogram,int,7,53,5,0.000315228
EqualDistinctCountHistogram,string,17,42,5,0.000258271
EqualDistinctCountHistogram,string,9,494,1,0.000145878
EqualDistinctCountHistogram,string,22,24,5,0.000567217
EqualDistinctCountHistogram,string,12,492,1,0.000153344
EqualDistinctCountHistogram,string,14,42,5,0.000106174
EqualDistinctCountHistogram,string,7,42,1,4.2882e-05
EqualDistinctCountHistogram,string,4,42,5,2.9076e-05
GDYHistogram,int,2,493,5,0.000328615
EqualDistinctCountHistogram,string,2,20,5,0.00106101
GDYHistogram,float,29,24,2,0.000881859
GDYHistogram,int,5,86400,43,0.0040407
EqualDistinctCountHistogram,string,10,10,2,5.7049e-05
EqualDistinctCountHistogram,string,21,42,3,0.00133269
GDYHistogram,int,12,24,5,0.000130158
GDYHistogram,int,3,86400,24,0.00409824
EqualDistinctCountHistogram,string,6,199,2,0.000551301
EqualDistinctCountHistogram,string,4,20,5,0.00163394
GDYHistogram,int,0,10,5,2.9795e-05
EqualDistinctCountHistogram,string,2,24,4,1.2307e-05
EqualDistinctCountHistogram,string,26,24,3,0.000771892
EqualDistinctCountHistogram,string,4,9,5,0.000192894
GDYHistogram,int,4,86400,43,0.00432769
EqualDistinctCountHistogram,string,11,42,5,0.000159013
EqualDistinctCountHistogram,string,1,20,5,0.00222151
EqualDistinctCountHistogram,string,19,24,5,0.0003925
EqualDistinctCountHistogram,string,1,42,5,6.7984e-05
GDYHistogram,float,30,24,5,0.00179895
GDYHistogram,int,9,24,5,8.789e-05
EqualDistinctCountHistogram,string,9,199,5,0.00100076
GDYHistogram,int,12,199,5,0.00085458
EqualDistinctCountHistogram,string,25,24,3,0.00148132
EqualDistinctCountHistogram,string,15,494,1,0.00113561
GDYHistogram,int,16,24,5,0.000496876
EqualDistinctCountHistogram,string,8,10,4,0.000400688
EqualDistinctCountHistogram,string,2,200,4,0.000105492
EqualDistinctCountHistogram,string,20,24,5,0.000402348
EqualDistinctCountHistogram,string,11,492,1,0.00116428
GDYHistogram,float,5,492,1,0.000122894
EqualDistinctCountHistogram,string,18,490,1,0.00015931
EqualDistinctCountHistogram,string,9,10,2,0.000840565
EqualDistinctCountHistogram,string,15,24,5,0.000279775
EqualDistinctCountHistogram,string,8,493,2,6.5897e-05
EqualDistinctCountHistogram,string,10,24,3,9.2877e-05
