benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,GDYHistogram,01,0,JoinHashLeft,500000,147716,500000.000000,3720.533691
TPC-DS,GDYHistogram,01,1,JoinHashLeft,2875432,557993,2875432.000000,12733.611328
TPC-DS,GDYHistogram,01,2,TableScan,102,32,102.000000,32.000000
TPC-DS,GDYHistogram,01,3,TableScan,65535,366,65535.000000,335.180084
TPC-DS,GDYHistogram,03,0,TableScan,73049,6000,73049.000000,6000.000000
TPC-DS,GDYHistogram,03,1,TableScan,102000,180,102000.000000,186.333328
TPC-DS,GDYHistogram,03,2,JoinHashLeft,28800991,51799,28800992.000000,52613.578125
TPC-DS,GDYHistogram,06,0,JoinHashLeft,102000,10174,102000.000000,102000.000000
TPC-DS,GDYHistogram,06,1,JoinHashLeft,500000,500000,500000.000000,500000.000000
TPC-DS,GDYHistogram,06,2,JoinHashRight,250000,500000,250000.000000,500000.000000
TPC-DS,GDYHistogram,06,3,JoinHashLeft,28800991,288747,28800992.000000,326202.437500
TPC-DS,GDYHistogram,06,4,Aggregate,102000,11,102000.000000,102000.000000
TPC-DS,GDYHistogram,06,5,JoinHashLeft,73049,31,73049.000000,865.525024
TPC-DS,GDYHistogram,06,6,TableScan,65535,365,65535.000000,335.180084
TPC-DS,GDYHistogram,07,0,JoinHashLeft,102000,75601,102000.000000,25890.142578
TPC-DS,GDYHistogram,07,1,JoinHashLeft,28800991,5519143,28800992.000000,126324.054688
TPC-DS,GDYHistogram,07,2,TableScan,500,494,500.000000,494.000000
TPC-DS,GDYHistogram,07,3,TableScan,500,493,500.000000,493.000000
TPC-DS,GDYHistogram,07,4,TableScan,65535,366,65535.000000,335.180084
TPC-DS,GDYHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,GDYHistogram,09,0,TableScan,45,1,45.000000,1.000000
TPC-DS,GDYHistogram,10,0,JoinHashLeft,28800991,1092669,28800992.000000,41588.066406
TPC-DS,GDYHistogram,10,1,JoinHashLeft,1920800,4499,1920800.000000,2177.738525
TPC-DS,GDYHistogram,10,2,JoinHashLeft,500000,4651,500000.000000,2255.802490
TPC-DS,GDYHistogram,10,3,JoinHashLeft,7197566,280942,7197566.000000,10880.036133
TPC-DS,GDYHistogram,10,4,JoinHashLeft,14401261,540591,14401261.000000,21666.318359
TPC-DS,GDYHistogram,10,5,TableScan,65535,365,65535.000000,335.180084
TPC-DS,GDYHistogram,10,6,TableScan,250000,2319,250000.000000,976.020020
TPC-DS,GDYHistogram,13,0,JoinHashLeft,7200,779,7200.000000,0.000000
TPC-DS,GDYHistogram,13,1,JoinHashRight,7200,65291,7200.000000,0.000289
TPC-DS,GDYHistogram,13,2,JoinHashLeft,102,51,102.000000,0.105719
TPC-DS,GDYHistogram,13,3,JoinHashLeft,1920800,48313,1920800.000000,0.000289
TPC-DS,GDYHistogram,13,4,JoinHashLeft,250000,166058,250000.000000,3435.072754
TPC-DS,GDYHistogram,13,5,JoinHashLeft,28800991,5470761,28800992.000000,126324.054688
TPC-DS,GDYHistogram,13,6,TableScan,65535,365,65535.000000,335.180084
TPC-DS,GDYHistogram,15,0,JoinHashLeft,14401261,412620,0.000000,0.000000
TPC-DS,GDYHistogram,15,1,JoinHashRight,250000,44146,250000.000000,0.000000
TPC-DS,GDYHistogram,15,2,JoinHashLeft,500000,44146,500000.000000,0.000000
TPC-DS,GDYHistogram,15,3,TableScan,65535,365,65535.000000,335.180084
TPC-DS,GDYHistogram,16,0,JoinHashLeft,14401261,1164433,14401261.000000,1.500249
TPC-DS,GDYHistogram,16,1,JoinHashLeft,1439749,115908,1439749.000000,0.254063
TPC-DS,GDYHistogram,16,2,JoinHashLeft,14401261,496369,14401261.000000,0.166679
TPC-DS,GDYHistogram,16,3,JoinHashLeft,250000,99110,250000.000000,0.165848
