HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffAreaHistogram,float,29,24,2,0.000137755
MaxDiffFrequencyHistogram,string,28,24,1,0.000225933
MaxDiffFrequencyHistogram,string,5,20,5,0.000221652
MaxDiffAreaHistogram,float,30,24,5,0.000393851
MaxDiffFrequencyHistogram,string,19,24,5,2.7509e-05
MaxDiffFrequencyHistogram,string,27,24,5,0.000494845
MaxDiffAreaHistogram,int,18,24,5,4.2386e-05
MaxDiffFrequencyHistogram,string,20,24,5,5.2216e-05
MaxDiffAreaHistogram,int,9,24,5,4.2354e-05
MaxDiffFrequencyHistogram,string,17,24,5,3.4146e-05
MaxDiffAreaHistogram,int,8,24,5,3.812e-05
MaxDiffAreaHistogram,int,0,20,5,0.000369949
MaxDiffFrequencyHistogram,string,1,20,5,0.000470167
MaxDiffFrequencyHistogram,string,4,20,5,0.000475679
MaxDiffFrequencyHistogram,string,7,24,3,4.2671e-05
MaxDiffFrequencyHistogram,string,10,24,3,7.3032e-05
MaxDiffFrequencyHistogram,string,5,9,5,0.000253219
MaxDiffAreaHistogram,int,0,24,5,1.713e-05
MaxDiffFrequencyHistogram,string,12,10,1,0.000181264
MaxDiffFrequencyHistogram,string,22,42,5,4.582e-05
MaxDiffFrequencyHistogram,string,2,9,5,6.9163e-05
MaxDiffFrequencyHistogram,string,12,42,5,6.409e-05
MaxDiffFrequencyHistogram,string,12,492,1,2.4233e-05
MaxDiffFrequencyHistogram,string,9,199,5,0.0001711
MaxDiffFrequencyHistogram,string,15,494,1,3.7612e-05
MaxDiffFrequencyHistogram,string,2,42,4,4.8718e-05
MaxDiffFrequencyHistogram,string,21,24,5,0.000518011
MaxDiffAreaHistogram,float,5,492,1,1.9399e-05
MaxDiffAreaHistogram,int,2,493,5,0.000188079
MaxDiffAreaHistogram,int,3,86400,24,0.000609717
MaxDiffFrequencyHistogram,string,19,42,5,0.000317501
MaxDiffFrequencyHistogram,string,9,494,1,0.000172377
MaxDiffFrequencyHistogram,string,11,10,5,0.000683374
MaxDiffFrequencyHistogram,string,11,24,5,8.2896e-05
MaxDiffAreaHistogram,int,9,42,5,7.8471e-05
MaxDiffFrequencyHistogram,string,21,42,3,0.000258152
MaxDiffFrequencyHistogram,string,1,10,5,0.000129016
MaxDiffFrequencyHistogram,string,1,24,5,0.000425774
MaxDiffFrequencyHistogram,string,11,42,5,0.00021028
MaxDiffAreaHistogram,float,13,9,1,0.0012055
MaxDiffFrequencyHistogram,string,8,200,1,0.00116833
MaxDiffFrequencyHistogram,string,1,42,5,6.7949e-05
MaxDiffFrequencyHistogram,string,11,492,1,0.000777064
MaxDiffAreaHistogram,int,4,86400,43,0.00122954
MaxDiffAreaHistogram,int,3,9,5,0.000212967
MaxDiffAreaHistogram,int,12,199,5,0.000112733
MaxDiffFrequencyHistogram,string,16,42,5,0.00143641
MaxDiffFrequencyHistogram,string,13,491,1,0.000117947
MaxDiffAreaHistogram,int,6,35,5,0.000223815
MaxDiffFrequencyHistogram,string,2,20,5,0.000584092
MaxDiffFrequencyHistogram,string,2,200,4,0.000150991
MaxDiffAreaHistogram,float,24,42,2,0.00106037
MaxDiffFrequencyHistogram,string,25,24,3,0.000145735
MaxDiffAreaHistogram,int,3,493,5,0.00282646
MaxDiffFrequencyHistogram,string,15,24,5,0.00264727
