HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,2,5,5,0.000783587
EqualDistinctCountHistogram,string,1,5,5,0.000433322
EquiWidthHistogram,int,2,25,5,0.000370119
EquiWidthHistogram,int,3,100000,25,0.00148478
EquiWidthHistogram,int,0,25,5,0.000350889
EqualDistinctCountHistogram,string,3,25,5,0.000678755
EquiWidthHistogram,int,0,5,5,0.00144612
EqualDistinctCountHistogram,string,1,25,5,0.00114568
EquiWidthHistogram,int,3,1.5e+06,25,0.0114767
EquiWidthHistogram,int,5,2e+06,50,0.0181553
EquiWidthHistogram,int,0,100000,50,0.027125
EquiWidthHistogram,float,5,100000,50,0.04006
EquiWidthHistogram,int,2,8e+06,100,0.0845226
EqualDistinctCountHistogram,string,6,1.5e+06,5,0.0917258
EquiWidthHistogram,int,7,1.5e+07,1,0.11001
EqualDistinctCountHistogram,string,3,2e+06,25,0.121776
EqualDistinctCountHistogram,string,2,2e+06,5,0.142271
EqualDistinctCountHistogram,string,6,2e+06,40,0.143543
EquiWidthHistogram,int,1,8e+06,100,0.165872
EquiWidthHistogram,float,7,2e+06,100,0.174358
EqualDistinctCountHistogram,string,4,100000,50,0.179904
EquiWidthHistogram,int,0,1.5e+06,100,0.187365
EquiWidthHistogram,int,0,8e+06,100,0.21833
EqualDistinctCountHistogram,string,4,2e+06,100,0.222112
EqualDistinctCountHistogram,string,2,100000,50,0.230315
EquiWidthHistogram,int,0,2e+06,100,0.232655
EqualDistinctCountHistogram,string,1,100000,50,0.238988
EqualDistinctCountHistogram,string,6,100000,50,0.269181
EquiWidthHistogram,float,5,1.5e+06,100,0.294279
EquiWidthHistogram,float,3,8e+06,100,0.463076
EquiWidthHistogram,int,1,1.5e+07,100,0.493517
EqualDistinctCountHistogram,string,2,1.5e+07,3,0.504969
EquiWidthHistogram,float,7,5.99861e+07,9,0.792479
EquiWidthHistogram,float,6,5.99861e+07,11,0.877546
EqualDistinctCountHistogram,string,4,1.5e+07,100,0.932693
EqualDistinctCountHistogram,string,5,1.5e+07,5,1.06633
EqualDistinctCountHistogram,string,8,2e+06,100,1.50181
EqualDistinctCountHistogram,string,6,1.5e+07,100,1.57036
EqualDistinctCountHistogram,string,4,1.5e+06,100,1.60227
EquiWidthHistogram,int,0,1.5e+07,100,1.65152
EqualDistinctCountHistogram,string,9,3.35544e+07,2,1.99415
EqualDistinctCountHistogram,string,1,1.5e+06,100,2.26765
EqualDistinctCountHistogram,string,8,4.63895e+07,3,2.26185
EqualDistinctCountHistogram,string,2,1.5e+06,100,2.54161
EqualDistinctCountHistogram,string,7,1.5e+06,100,3.13201
EqualDistinctCountHistogram,string,1,2e+06,100,3.22141
EqualDistinctCountHistogram,string,14,5.99861e+07,7,3.71177
EqualDistinctCountHistogram,string,11,5.99861e+07,100,3.71291
EquiWidthHistogram,float,3,1.5e+07,100,3.76751
EqualDistinctCountHistogram,string,10,5.99861e+07,100,3.93887
EqualDistinctCountHistogram,string,12,5.99861e+07,100,3.96682
EqualDistinctCountHistogram,string,13,5.99861e+07,4,4.93195
EquiWidthHistogram,float,4,5.9986e+07,50,1.25571
EquiWidthHistogram,int,3,5.99861e+07,7,0.535326
EquiWidthHistogram,int,2,5.99864e+07,100,1.62593
EquiWidthHistogram,int,1,5.99862e+07,100,2.10478
EquiWidthHistogram,int,0,5.99804e+07,100,2.42491
EqualDistinctCountHistogram,string,4,8e+06,100,17.9036
EqualDistinctCountHistogram,string,8,1.5e+07,100,30.5263
EqualDistinctCountHistogram,string,15,4.09454e+07,100,83.9287
EquiWidthHistogram,float,5,5.99781e+07,100,4.29189
