benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,EquiWidthHistogram,TPC-H 01,0,TableScan,59986052,59608678,59986052.000000,59974240.000000
TPC-H,EquiWidthHistogram,TPC-H 02,0,TableScan,2000000,39933,2000000.000000,39731.000000
TPC-H,EquiWidthHistogram,TPC-H 02,1,JoinHashLeft,8000000,31644,8000000.000000,15891.612305
TPC-H,EquiWidthHistogram,TPC-H 02,2,JoinHashLeft,100000,20033,100000.000000,10406.638672
TPC-H,EquiWidthHistogram,TPC-H 02,3,JoinHashLeft,100000,20033,100000.000000,10406.638672
TPC-H,EquiWidthHistogram,TPC-H 02,4,JoinHashLeft,25,5,25.000000,3.000000
TPC-H,EquiWidthHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,3.000000
TPC-H,EquiWidthHistogram,TPC-H 02,6,TableScan,5,1,5.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 03,0,JoinHashLeft,59986052,5784859,59986052.000000,8745882.000000
TPC-H,EquiWidthHistogram,TPC-H 03,1,JoinHashLeft,15000000,3000540,15000000.000000,4500319.500000
TPC-H,EquiWidthHistogram,TPC-H 03,2,TableScan,1500000,300036,1500000.000000,300036.000000
TPC-H,EquiWidthHistogram,TPC-H 04,0,TableScan,15000000,562097,15000000.000000,592808.125000
TPC-H,EquiWidthHistogram,TPC-H 04,1,JoinHashLeft,59986052,2248407,59986052.000000,2370677.250000
TPC-H,EquiWidthHistogram,TPC-H 05,0,JoinHashRight,1500000,1805025,1500000.000000,2286049.500000
TPC-H,EquiWidthHistogram,TPC-H 05,1,TableScan,15000000,2275919,15000000.000000,2286207.000000
TPC-H,EquiWidthHistogram,TPC-H 05,2,JoinHashLeft,59986052,11896777,59986052.000000,6239478.500000
TPC-H,EquiWidthHistogram,TPC-H 05,3,JoinHashLeft,100000,19837,100000.000000,10406.638672
TPC-H,EquiWidthHistogram,TPC-H 05,4,JoinHashLeft,25,5,25.000000,3.000000
TPC-H,EquiWidthHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 06,0,TableScan,59986052,9109641,59986052.000000,9483753.000000
TPC-H,EquiWidthHistogram,TPC-H 07,0,JoinHashLeft,1500000,119673,1500000.000000,52003.554688
TPC-H,EquiWidthHistogram,TPC-H 07,1,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 07,2,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 07,3,JoinHashLeft,15000000,1250741,15000000.000000,599210.062500
TPC-H,EquiWidthHistogram,TPC-H 07,4,JoinHashLeft,59986052,4762824,59986052.000000,2079824.250000
TPC-H,EquiWidthHistogram,TPC-H 07,5,JoinHashLeft,100000,7943,100000.000000,3468.879639
TPC-H,EquiWidthHistogram,TPC-H 08,0,JoinHashRight,25,23926,25.000000,60462.605469
TPC-H,EquiWidthHistogram,TPC-H 08,1,JoinHashLeft,100000,23926,100000.000000,116348.062500
TPC-H,EquiWidthHistogram,TPC-H 08,2,JoinHashLeft,1500000,299493,1500000.000000,156010.609375
TPC-H,EquiWidthHistogram,TPC-H 08,3,JoinHashLeft,59986052,392561,59986052.000000,393069.000000
TPC-H,EquiWidthHistogram,TPC-H 08,4,JoinHashLeft,25,5,25.000000,3.000000
TPC-H,EquiWidthHistogram,TPC-H 08,5,JoinHashLeft,15000000,387415,15000000.000000,393068.437500
TPC-H,EquiWidthHistogram,TPC-H 08,6,TableScan,2000000,13106,2000000.000000,13106.000000
TPC-H,EquiWidthHistogram,TPC-H 08,7,TableScan,5,1,5.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 09,0,JoinHashLeft,8000000,434340,8000000.000000,799959.125000
TPC-H,EquiWidthHistogram,TPC-H 09,1,JoinHashLeft,15000000,2926362,15000000.000000,2999779.000000
TPC-H,EquiWidthHistogram,TPC-H 09,2,JoinHashLeft,100000,100000,100000.000000,50035.000000
TPC-H,EquiWidthHistogram,TPC-H 09,3,JoinHashRight,25,100000,25.000000,50035.000000
TPC-H,EquiWidthHistogram,TPC-H 09,4,JoinHashLeft,59986052,3254981,59986052.000000,5998307.500000
TPC-H,EquiWidthHistogram,TPC-H 09,5,TableScan,2000000,108585,2000000.000000,200000.000000
TPC-H,EquiWidthHistogram,TPC-H 10,0,JoinHashLeft,1500000,1500000,1500000.000000,750045.000000
TPC-H,EquiWidthHistogram,TPC-H 10,1,JoinHashRight,25,1500000,25.000000,750045.000000
TPC-H,EquiWidthHistogram,TPC-H 10,2,JoinHashLeft,59986052,2248407,59986052.000000,2370677.250000
TPC-H,EquiWidthHistogram,TPC-H 10,3,TableScan,15000000,562097,15000000.000000,592808.125000
TPC-H,EquiWidthHistogram,TPC-H 11,0,JoinHashLeft,8000000,314720,8000000.000000,277373.906250
TPC-H,EquiWidthHistogram,TPC-H 11,1,JoinHashLeft,100000,3934,100000.000000,3468.879639
TPC-H,EquiWidthHistogram,TPC-H 11,2,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 12,0,JoinHashLeft,15000000,293828,15000000.000000,1364045.750000
TPC-H,EquiWidthHistogram,TPC-H 12,1,TableScan,59986052,9122650,59986052.000000,9546147.000000
TPC-H,EquiWidthHistogram,TPC-H 13,0,JoinHashLeft,1500000,15338428,1500000.000000,13499110.000000
TPC-H,EquiWidthHistogram,TPC-H 13,1,TableScan,15000000,14838409,15000000.000000,13500000.000000
TPC-H,EquiWidthHistogram,TPC-H 14,0,JoinHashRight,2000000,773181,2000000.000000,1173456.500000
TPC-H,EquiWidthHistogram,TPC-H 14,1,TableScan,59986052,773181,59986052.000000,1173515.250000
TPC-H,EquiWidthHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,2345283.250000
TPC-H,EquiWidthHistogram,TPC-H 15,1,TableScan,59986052,2247222,59986052.000000,2347605.000000
TPC-H,EquiWidthHistogram,TPC-H 16,0,JoinHashLeft,8000000,1185636,8000000.000000,1495.582031
TPC-H,EquiWidthHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000
TPC-H,EquiWidthHistogram,TPC-H 16,2,TableScan,2000000,39575,2000000.000000,40231.000000
TPC-H,EquiWidthHistogram,TPC-H 16,3,TableScan,2000000,39735,2000000.000000,39837.000000
TPC-H,EquiWidthHistogram,TPC-H 16,4,TableScan,2000000,40081,2000000.000000,39905.000000
TPC-H,EquiWidthHistogram,TPC-H 16,5,TableScan,2000000,39989,2000000.000000,40133.000000
TPC-H,EquiWidthHistogram,TPC-H 16,6,TableScan,2000000,40385,2000000.000000,39958.000000
TPC-H,EquiWidthHistogram,TPC-H 16,7,TableScan,2000000,39840,2000000.000000,39697.000000
TPC-H,EquiWidthHistogram,TPC-H 16,8,TableScan,2000000,39933,2000000.000000,39731.000000
TPC-H,EquiWidthHistogram,TPC-H 16,9,TableScan,2000000,39894,2000000.000000,39928.000000
TPC-H,EquiWidthHistogram,TPC-H 17,0,JoinHashLeft,59986052,59527,59986052.000000,59673.089844
TPC-H,EquiWidthHistogram,TPC-H 17,1,TableScan,2000000,49754,2000000.000000,49754.000000
