HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffAreaHistogram,int,0,5,5,0.000479269
MaxDiffFrequencyHistogram,string,3,25,5,0.000660414
MaxDiffFrequencyHistogram,string,1,25,5,0.000279697
MaxDiffAreaHistogram,int,2,25,5,0.000329657
MaxDiffFrequencyHistogram,string,1,5,5,0.00112945
MaxDiffAreaHistogram,int,3,100000,25,0.00383581
MaxDiffAreaHistogram,int,3,1.5e+06,25,0.0104277
MaxDiffAreaHistogram,int,0,25,5,0.00189353
MaxDiffFrequencyHistogram,string,2,5,5,0.00832172
MaxDiffAreaHistogram,int,5,2e+06,50,0.0155093
MaxDiffAreaHistogram,float,5,100000,50,0.0390234
MaxDiffAreaHistogram,int,0,100000,50,0.0432506
MaxDiffAreaHistogram,float,7,2e+06,100,0.0648172
MaxDiffFrequencyHistogram,string,6,1.5e+06,5,0.0825484
MaxDiffAreaHistogram,int,7,1.5e+07,1,0.108786
MaxDiffAreaHistogram,int,2,8e+06,100,0.127146
MaxDiffFrequencyHistogram,string,4,100000,50,0.126548
MaxDiffFrequencyHistogram,string,2,2e+06,5,0.125139
MaxDiffFrequencyHistogram,string,6,2e+06,40,0.14434
MaxDiffFrequencyHistogram,string,3,2e+06,25,0.173343
MaxDiffAreaHistogram,int,1,8e+06,100,0.184778
MaxDiffFrequencyHistogram,string,2,100000,50,0.206349
MaxDiffFrequencyHistogram,string,1,100000,50,0.263561
MaxDiffAreaHistogram,int,0,2e+06,100,0.265255
MaxDiffAreaHistogram,int,0,1.5e+06,100,0.306329
MaxDiffFrequencyHistogram,string,4,2e+06,100,0.314154
MaxDiffAreaHistogram,int,0,8e+06,100,0.318701
MaxDiffFrequencyHistogram,string,6,100000,50,0.331375
MaxDiffAreaHistogram,float,5,1.5e+06,100,0.372551
MaxDiffAreaHistogram,float,3,8e+06,100,0.384287
MaxDiffFrequencyHistogram,string,2,1.5e+07,3,0.517765
MaxDiffAreaHistogram,int,1,1.5e+07,100,0.529404
MaxDiffAreaHistogram,float,6,5.99861e+07,11,0.871013
MaxDiffAreaHistogram,float,7,5.99861e+07,9,1.29412
MaxDiffFrequencyHistogram,string,5,1.5e+07,5,1.43198
MaxDiffFrequencyHistogram,string,4,1.5e+06,100,1.47501
MaxDiffFrequencyHistogram,string,8,2e+06,100,1.56192
MaxDiffFrequencyHistogram,string,6,1.5e+07,100,1.59596
MaxDiffFrequencyHistogram,string,4,1.5e+07,100,1.64271
MaxDiffFrequencyHistogram,string,9,3.35544e+07,2,2.03189
MaxDiffFrequencyHistogram,string,8,4.63895e+07,3,2.30728
MaxDiffFrequencyHistogram,string,1,1.5e+06,100,2.32172
MaxDiffFrequencyHistogram,string,2,1.5e+06,100,2.41373
MaxDiffAreaHistogram,int,0,1.5e+07,100,2.55828
MaxDiffFrequencyHistogram,string,7,1.5e+06,100,3.10173
MaxDiffFrequencyHistogram,string,1,2e+06,100,3.30788
MaxDiffFrequencyHistogram,string,11,5.99861e+07,100,3.57362
MaxDiffFrequencyHistogram,string,10,5.99861e+07,100,3.69302
MaxDiffFrequencyHistogram,string,14,5.99861e+07,7,3.85501
MaxDiffFrequencyHistogram,string,12,5.99861e+07,100,4.32032
MaxDiffAreaHistogram,float,3,1.5e+07,100,4.40663
MaxDiffFrequencyHistogram,string,13,5.99861e+07,4,4.72442
MaxDiffAreaHistogram,float,4,5.9986e+07,50,0.888645
MaxDiffAreaHistogram,int,1,5.99862e+07,100,1.46459
MaxDiffAreaHistogram,int,3,5.99861e+07,7,0.376661
MaxDiffAreaHistogram,int,2,5.99864e+07,100,1.05196
MaxDiffAreaHistogram,int,0,5.99804e+07,100,3.29466
MaxDiffFrequencyHistogram,string,4,8e+06,100,19.5876
MaxDiffFrequencyHistogram,string,8,1.5e+07,100,29.6145
MaxDiffFrequencyHistogram,string,15,4.09454e+07,100,83.8037
MaxDiffAreaHistogram,float,5,5.99781e+07,100,3.13633
