HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT
MaxDiffAreaHistogram,string,18,42,5,0.119939,1
MaxDiffAreaHistogram,string,6,199,2,0.121992,1
MaxDiffAreaHistogram,string,6,9,5,0.132888,1
MaxDiffAreaHistogram,int,12,199,5,0.132905,1
MaxDiffAreaHistogram,int,13,198,5,0.133729,1
MaxDiffAreaHistogram,string,15,494,1,0.1337,1
MaxDiffAreaHistogram,string,2,200,4,0.000934886,1
MaxDiffAreaHistogram,string,7,9,5,0.13394,1
MaxDiffAreaHistogram,string,8,10,4,0.134487,1
MaxDiffAreaHistogram,string,3,100,3,0.00106598,1
MaxDiffAreaHistogram,string,4,9,5,0.136642,1
MaxDiffAreaHistogram,float,5,492,1,0.00267431,1
MaxDiffAreaHistogram,string,9,199,5,0.137978,1
MaxDiffAreaHistogram,string,10,495,1,0.138047,1
MaxDiffAreaHistogram,string,11,492,1,0.138288,1
MaxDiffAreaHistogram,int,5,200,5,0.125646,1
MaxDiffAreaHistogram,string,13,491,1,0.125673,1
MaxDiffAreaHistogram,int,11,198,5,0.143138,1
MaxDiffAreaHistogram,int,4,199,5,0.128662,1
MaxDiffAreaHistogram,string,16,42,5,0.13529,1
MaxDiffAreaHistogram,string,25,24,3,0.143191,1
MaxDiffAreaHistogram,float,13,9,1,0.145574,1
MaxDiffAreaHistogram,string,28,24,1,0.131998,1
MaxDiffAreaHistogram,float,29,24,2,0.146354,1
MaxDiffAreaHistogram,float,24,42,2,0.131058,1
MaxDiffAreaHistogram,string,9,10,2,0.149619,1
MaxDiffAreaHistogram,string,23,24,5,0.147882,1
MaxDiffAreaHistogram,string,21,42,3,0.140671,1
MaxDiffAreaHistogram,string,10,10,2,0.139089,1
MaxDiffAreaHistogram,string,3,20,4,0.128469,1
MaxDiffAreaHistogram,string,12,492,1,0.141251,1
MaxDiffAreaHistogram,string,22,24,5,0.144295,1
MaxDiffAreaHistogram,int,7,53,5,0.159427,1
