benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
JoinOrder,MaxDiffFrequencyHistogram,10a,0,JoinHashLeft,2528312,165,2528312.000000,10.978725
JoinOrder,MaxDiffFrequencyHistogram,10a,1,TableScan,12,1,12.000000,1.000000
JoinOrder,MaxDiffFrequencyHistogram,10a,2,JoinHashLeft,3140339,200,3140339.000000,10.986499
JoinOrder,MaxDiffFrequencyHistogram,10a,3,JoinHashRight,4,8790,4.000000,151.423523
JoinOrder,MaxDiffFrequencyHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,203.474304
JoinOrder,MaxDiffFrequencyHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,2399.550293
JoinOrder,MaxDiffFrequencyHistogram,10a,6,TableScan,234997,1361,234997.000000,18.333334
JoinOrder,MaxDiffFrequencyHistogram,10b,0,JoinHashLeft,3140339,0,3140339.000000,1.148188
JoinOrder,MaxDiffFrequencyHistogram,10b,1,JoinHashRight,4,8790,4.000000,151.423523
JoinOrder,MaxDiffFrequencyHistogram,10b,2,JoinHashLeft,36244344,36999,36244344.000000,397.460114
JoinOrder,MaxDiffFrequencyHistogram,10b,3,JoinHashLeft,2528312,6045,2528312.000000,203.371414
JoinOrder,MaxDiffFrequencyHistogram,10b,4,JoinHashLeft,2609129,8790,2609129.000000,203.474304
JoinOrder,MaxDiffFrequencyHistogram,10b,5,TableScan,12,1,12.000000,1.000000
JoinOrder,MaxDiffFrequencyHistogram,10b,6,TableScan,234997,1361,234997.000000,18.333334
JoinOrder,MaxDiffFrequencyHistogram,10c,0,JoinHashRight,12,1210267,12.000000,406.235779
JoinOrder,MaxDiffFrequencyHistogram,10c,1,JoinHashLeft,2528312,7,2528312.000000,185.724518
JoinOrder,MaxDiffFrequencyHistogram,10c,2,JoinHashLeft,3140339,1,3140339.000000,247.482864
JoinOrder,MaxDiffFrequencyHistogram,10c,3,JoinHashRight,4,1153798,4.000000,379.900208
JoinOrder,MaxDiffFrequencyHistogram,10c,4,JoinHashLeft,36244344,12227095,36244344.000000,6020.135254
