benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,MaxDiffAreaHistogram,TPC-H 01,0,TableScan,59986052,59608678,59986052.000000,6502459.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,0,TableScan,2000000,39933,2000000.000000,39933.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,1,JoinHashLeft,8000000,18648,8000000.000000,12963.609375,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,2,JoinHashLeft,100000,20033,100000.000000,19999.998047,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,3,JoinHashLeft,8000000,31644,8000000.000000,12963.609375,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,4,JoinHashLeft,100000,20033,100000.000000,19999.998047,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,5.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,6,JoinHashLeft,25,5,25.000000,5.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 02,8,TableScan,5,1,5.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 03,0,TableScan,15000000,7233144,15000000.000000,3158870.750000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 03,1,JoinHashLeft,1500000,423717,1500000.000000,12779.036133,50
TPC-H,MaxDiffAreaHistogram,TPC-H 03,2,JoinHashLeft,59986052,28925506,59986052.000000,498043.875000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 04,0,TableScan,15000000,562097,15000000.000000,241993.906250,50
TPC-H,MaxDiffAreaHistogram,TPC-H 04,1,JoinHashLeft,59986052,2248407,59986052.000000,38154.011719,50
TPC-H,MaxDiffAreaHistogram,TPC-H 05,0,JoinHashLeft,1500000,685718,1500000.000000,7573.829590,50
TPC-H,MaxDiffAreaHistogram,TPC-H 05,1,TableScan,15000000,2275919,15000000.000000,1014379.062500,50
TPC-H,MaxDiffAreaHistogram,TPC-H 05,2,JoinHashLeft,100000,19837,100000.000000,19999.998047,50
TPC-H,MaxDiffAreaHistogram,TPC-H 05,3,JoinHashLeft,25,5,25.000000,5.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 05,4,JoinHashLeft,59986052,9103367,59986052.000000,159932.281250,50
TPC-H,MaxDiffAreaHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 06,0,TableScan,59986052,9109641,59986052.000000,1014969.062500,50
TPC-H,MaxDiffAreaHistogram,TPC-H 07,0,TableScan,25,1,25.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 07,1,TableScan,25,1,25.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 07,2,JoinHashLeft,1500000,981181,1500000.000000,3532.109863,50
TPC-H,MaxDiffAreaHistogram,TPC-H 07,3,JoinHashLeft,100000,100000,100000.000000,8093.744141,50
TPC-H,MaxDiffAreaHistogram,TPC-H 07,4,JoinHashLeft,15000000,4942798,15000000.000000,74585.234375,50
TPC-H,MaxDiffAreaHistogram,TPC-H 07,5,TableScan,59986052,18230325,59986052.000000,1891616.125000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,0,JoinHashRight,25,23926,25.000000,4.999996,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,1,JoinHashLeft,1500000,110991,1500000.000000,10.588786,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,2,JoinHashLeft,25,5,25.000000,5.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,3,JoinHashLeft,15000000,387415,15000000.000000,192.388870,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,4,JoinHashLeft,100000,40873,100000.000000,4879.328613,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,5,JoinHashLeft,59986052,392561,59986052.000000,44963.835938,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,6,TableScan,5,1,5.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 08,7,TableScan,2000000,13106,2000000.000000,13286.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 09,0,JoinHashRight,25,3254981,25.000000,2896.119141,50
TPC-H,MaxDiffAreaHistogram,TPC-H 09,1,JoinHashLeft,8000000,434340,8000000.000000,9402.118164,50
TPC-H,MaxDiffAreaHistogram,TPC-H 09,2,JoinHashRight,100000,3254981,100000.000000,73450.812500,50
TPC-H,MaxDiffAreaHistogram,TPC-H 09,3,JoinHashLeft,15000000,2926362,15000000.000000,2896.119629,50
TPC-H,MaxDiffAreaHistogram,TPC-H 09,4,JoinHashRight,100000,3254981,100000.000000,73450.812500,50
TPC-H,MaxDiffAreaHistogram,TPC-H 09,5,JoinHashLeft,59986052,3254981,59986052.000000,676861.875000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 09,6,TableScan,2000000,108585,2000000.000000,200000.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 10,0,JoinHashRight,25,1125087,25.000000,445.948181,50
TPC-H,MaxDiffAreaHistogram,TPC-H 10,1,JoinHashLeft,1500000,375729,1500000.000000,445.948181,50
TPC-H,MaxDiffAreaHistogram,TPC-H 10,2,TableScan,15000000,562097,15000000.000000,241993.906250,50
TPC-H,MaxDiffAreaHistogram,TPC-H 10,3,JoinHashLeft,59986052,2248407,59986052.000000,38154.011719,50
TPC-H,MaxDiffAreaHistogram,TPC-H 11,0,JoinHashLeft,8000000,314720,8000000.000000,259708.062500,50
TPC-H,MaxDiffAreaHistogram,TPC-H 11,1,JoinHashLeft,100000,3934,100000.000000,3999.999512,50
TPC-H,MaxDiffAreaHistogram,TPC-H 11,2,TableScan,25,1,25.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 12,0,JoinHashLeft,15000000,293828,15000000.000000,433.379150,50
TPC-H,MaxDiffAreaHistogram,TPC-H 12,1,TableScan,59986052,9122650,59986052.000000,707878.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 13,0,JoinHashLeft,1500000,15338428,1500000.000000,5891393.500000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 13,1,TableScan,15000000,14838409,15000000.000000,13500000.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 14,0,TableScan,59986052,771048,59986052.000000,64971.730469,50
TPC-H,MaxDiffAreaHistogram,TPC-H 14,1,JoinHashLeft,2000000,640086,2000000.000000,7050.514648,50
TPC-H,MaxDiffAreaHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,32013.189453,50
TPC-H,MaxDiffAreaHistogram,TPC-H 15,1,JoinHashRight,100000,2247222,100000.000000,32013.189453,50
TPC-H,MaxDiffAreaHistogram,TPC-H 15,2,TableScan,59986052,2247222,59986052.000000,295007.125000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,0,JoinHashLeft,8000000,1188176,8000000.000000,861.129883,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,2,TableScan,2000000,39958,2000000.000000,39958.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,3,TableScan,2000000,40067,2000000.000000,40067.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,4,TableScan,2000000,39971,2000000.000000,39971.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,5,TableScan,2000000,40253,2000000.000000,40253.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,6,TableScan,2000000,39575,2000000.000000,39575.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,7,TableScan,2000000,39968,2000000.000000,39968.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,8,TableScan,2000000,40033,2000000.000000,40033.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,9,TableScan,2000000,40177,2000000.000000,40177.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 17,0,JoinHashLeft,59986052,59527,59986052.000000,6733.632324,50
TPC-H,MaxDiffAreaHistogram,TPC-H 17,1,TableScan,2000000,49754,2000000.000000,49754.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,0,JoinHashLeft,15000000,99,15000000.000000,590302.875000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,1,JoinHashLeft,1500000,99,1500000.000000,257607.500000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,2,JoinHashLeft,59986052,693,59986052.000000,2364884.750000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,3,JoinHashLeft,59986052,59986052,59986052.000000,2364884.750000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,4,JoinHashRight,15000000,59986052,15000000.000000,2364884.750000,50
