HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,2,100,5,0.000328404
EqualDistinctCountHistogram,int,1,100,5,0.000106015
EqualDistinctCountHistogram,string,5,10,5,0.000193301
EqualDistinctCountHistogram,float,8,10,1,0.000114547
EqualDistinctCountHistogram,string,3,10,5,0.000196432
EqualDistinctCountHistogram,string,6,100,5,0.000291369
EqualDistinctCountHistogram,float,8,100,5,0.000104682
EqualDistinctCountHistogram,string,4,100,5,0.000422344
EqualDistinctCountHistogram,string,5,100,5,0.000242483
EqualDistinctCountHistogram,string,3,100,5,0.000264447
EqualDistinctCountHistogram,float,9,100,1,6.3085e-05
EqualDistinctCountHistogram,int,10,100,1,8.611e-05
EqualDistinctCountHistogram,int,1,90000,10,0.000714361
EqualDistinctCountHistogram,int,0,100,5,7.3064e-05
EqualDistinctCountHistogram,int,0,90000,45,0.000970664
EqualDistinctCountHistogram,int,2,90000,10,0.00101246
EqualDistinctCountHistogram,int,1,300000,10,0.00196784
EqualDistinctCountHistogram,int,18,300000,1,0.00202641
EqualDistinctCountHistogram,int,0,300000,100,0.0021261
EqualDistinctCountHistogram,int,3,300000,10,0.00213455
EqualDistinctCountHistogram,int,2,300000,10,0.00217795
EqualDistinctCountHistogram,string,6,10,5,4.0737e-05
EqualDistinctCountHistogram,int,1,300000,10,0.00219053
EqualDistinctCountHistogram,int,19,300000,1,0.0021206
EqualDistinctCountHistogram,int,3,300000,100,0.00285026
EqualDistinctCountHistogram,int,0,300000,100,0.00292818
EqualDistinctCountHistogram,string,2,10,5,4.2162e-05
EqualDistinctCountHistogram,float,7,10,5,3.1096e-05
EqualDistinctCountHistogram,string,1,10,5,6.9513e-05
EqualDistinctCountHistogram,int,12,300000,1,0.00185509
EqualDistinctCountHistogram,int,7,300000,1,0.00330536
EqualDistinctCountHistogram,string,4,10,5,0.00234119
EqualDistinctCountHistogram,string,7,100,5,0.00290422
EqualDistinctCountHistogram,int,4,300000,10,0.00186158
EqualDistinctCountHistogram,int,5,300000,1,0.00297016
EqualDistinctCountHistogram,float,17,300000,1,0.00685564
EqualDistinctCountHistogram,float,6,300000,1,0.00567317
EqualDistinctCountHistogram,int,0,10,5,0.000904568
EqualDistinctCountHistogram,float,15,300000,100,0.00767529
EqualDistinctCountHistogram,int,4,300000,1,0.00560146
EqualDistinctCountHistogram,float,16,300000,1,0.00686538
EqualDistinctCountHistogram,int,6,300000,11,0.00426502
EqualDistinctCountHistogram,int,5,210000,10,0.00679195
EqualDistinctCountHistogram,int,15,1e+06,1,0.00742753
EqualDistinctCountHistogram,float,14,300000,1,0.00760501
EqualDistinctCountHistogram,int,14,1e+06,1,0.00744662
EqualDistinctCountHistogram,int,2,300000,10,0.00188594
EqualDistinctCountHistogram,int,2,300000,10,0.00443063
EqualDistinctCountHistogram,int,1,100000,50,0.0015552
EqualDistinctCountHistogram,int,13,1e+06,1,0.00615229
EqualDistinctCountHistogram,int,0,100000,50,0.00924822
EqualDistinctCountHistogram,string,13,300000,2,0.0153585
EqualDistinctCountHistogram,int,7,3.00156e+06,1,0.0204457
EqualDistinctCountHistogram,float,3,100000,50,0.0143129
EqualDistinctCountHistogram,string,4,300000,1,0.0146302
EqualDistinctCountHistogram,int,2,3.00156e+06,10,0.0239318
EqualDistinctCountHistogram,int,1,3.00156e+06,10,0.021833
EqualDistinctCountHistogram,string,9,300000,100,0.0234738
EqualDistinctCountHistogram,int,5,3.00156e+06,10,0.0272113
EqualDistinctCountHistogram,int,6,2.10079e+06,1,0.0264505
EqualDistinctCountHistogram,int,3,3.00156e+06,15,0.0314646
EqualDistinctCountHistogram,string,5,300000,100,0.0252783
EqualDistinctCountHistogram,int,0,3.00156e+06,100,0.0342683
EqualDistinctCountHistogram,int,4,3.00156e+06,100,0.120368
EqualDistinctCountHistogram,string,2,100000,50,0.159522
EqualDistinctCountHistogram,float,8,3.00156e+06,100,0.236916
EqualDistinctCountHistogram,string,4,100000,50,0.242359
EqualDistinctCountHistogram,string,3,300000,100,0.309407
EqualDistinctCountHistogram,string,7,300000,100,0.461892
EqualDistinctCountHistogram,string,6,300000,100,0.496209
EqualDistinctCountHistogram,string,7,300000,100,0.502235
EqualDistinctCountHistogram,string,8,300000,100,0.581033
EqualDistinctCountHistogram,string,11,300000,100,0.604882
EqualDistinctCountHistogram,int,1,300000,10,0.0019409
EqualDistinctCountHistogram,string,20,300000,100,0.903345
EqualDistinctCountHistogram,string,10,300000,100,0.0285803
EqualDistinctCountHistogram,int,0,300000,100,0.00195104
EqualDistinctCountHistogram,string,12,1e+06,100,1.34921
EqualDistinctCountHistogram,int,2,1e+06,91,0.00727328
EqualDistinctCountHistogram,string,11,1e+06,100,1.37107
EqualDistinctCountHistogram,int,1,1e+06,10,0.00631358
EqualDistinctCountHistogram,string,3,1e+06,100,1.4045
EqualDistinctCountHistogram,string,9,1e+06,100,1.43888
EqualDistinctCountHistogram,string,7,1e+06,100,1.64346
EqualDistinctCountHistogram,string,16,1e+06,100,1.66953
EqualDistinctCountHistogram,string,4,1e+06,100,1.77983
EqualDistinctCountHistogram,string,5,1e+06,100,1.78253
EqualDistinctCountHistogram,string,8,1e+06,100,1.88203
EqualDistinctCountHistogram,string,10,1e+06,100,1.93166
EqualDistinctCountHistogram,int,0,1e+06,100,0.0138423
EqualDistinctCountHistogram,string,6,1e+06,100,1.14939
EqualDistinctCountHistogram,string,9,3.00156e+06,100,5.14173
