HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,int,19,300000,1,0.00527204
EquiHeightHistogram,float,16,300000,1,0.00931634
EquiHeightHistogram,float,7,10,5,4.1108e-05
EquiHeightHistogram,string,6,10,5,0.000138864
EquiHeightHistogram,int,18,300000,1,0.00536719
EquiHeightHistogram,string,5,10,5,0.000226838
EquiHeightHistogram,string,2,10,5,0.000155511
EquiHeightHistogram,float,14,300000,1,0.00868477
EquiHeightHistogram,int,12,300000,1,0.0030263
EquiHeightHistogram,int,4,300000,10,0.0021551
EquiHeightHistogram,string,3,10,5,4.8417e-05
EquiHeightHistogram,int,0,90000,45,0.000736973
EquiHeightHistogram,int,2,300000,10,0.00425926
EquiHeightHistogram,string,6,100,5,0.00012713
EquiHeightHistogram,int,13,1e+06,1,0.00704965
EquiHeightHistogram,string,3,100,5,0.000138384
EquiHeightHistogram,float,17,300000,1,0.012548
EquiHeightHistogram,float,6,300000,1,0.00762884
EquiHeightHistogram,float,15,300000,100,0.00845443
EquiHeightHistogram,float,8,100,5,0.00546229
EquiHeightHistogram,float,8,10,1,0.00432641
EquiHeightHistogram,int,2,300000,10,0.00199875
EquiHeightHistogram,int,6,300000,11,0.00198701
EquiHeightHistogram,string,2,100,5,0.000114887
EquiHeightHistogram,float,9,100,1,0.00312629
EquiHeightHistogram,string,4,10,5,0.00519537
EquiHeightHistogram,string,1,10,5,0.00330991
EquiHeightHistogram,string,13,300000,2,0.0200463
EquiHeightHistogram,string,5,100,5,0.00519353
EquiHeightHistogram,int,5,300000,1,0.00541999
EquiHeightHistogram,string,4,100,5,0.00144921
EquiHeightHistogram,int,3,300000,10,0.00573762
EquiHeightHistogram,string,7,100,5,0.00546658
EquiHeightHistogram,int,1,90000,10,0.00298848
EquiHeightHistogram,int,2,90000,10,0.0029562
EquiHeightHistogram,int,0,10,5,0.00265026
EquiHeightHistogram,int,1,100,5,0.00265828
EquiHeightHistogram,int,10,100,1,0.002737
EquiHeightHistogram,int,14,1e+06,1,0.00634365
EquiHeightHistogram,int,0,100,5,0.000135905
EquiHeightHistogram,int,15,1e+06,1,0.00924065
EquiHeightHistogram,int,1,300000,10,0.00361975
EquiHeightHistogram,int,0,300000,100,0.00490844
EquiHeightHistogram,int,6,2.10079e+06,1,0.0148763
EquiHeightHistogram,int,1,300000,10,0.00976466
EquiHeightHistogram,string,4,300000,1,0.0157829
EquiHeightHistogram,int,2,300000,10,0.00988247
EquiHeightHistogram,int,4,300000,1,0.00700998
EquiHeightHistogram,int,1,3.00156e+06,10,0.0187687
EquiHeightHistogram,int,5,3.00156e+06,10,0.01947
EquiHeightHistogram,int,3,300000,100,0.00982131
EquiHeightHistogram,int,5,210000,10,0.00301265
EquiHeightHistogram,string,9,300000,100,0.0208936
EquiHeightHistogram,int,0,300000,100,0.0110988
EquiHeightHistogram,int,1,100000,50,0.00217626
EquiHeightHistogram,int,7,300000,1,0.00277261
EquiHeightHistogram,float,3,100000,50,0.0045971
EquiHeightHistogram,int,0,3.00156e+06,100,0.0284001
EquiHeightHistogram,int,3,3.00156e+06,15,0.0234936
EquiHeightHistogram,string,5,300000,100,0.0239629
EquiHeightHistogram,int,7,3.00156e+06,1,0.032221
EquiHeightHistogram,int,2,3.00156e+06,10,0.0430725
EquiHeightHistogram,int,0,100000,50,0.0389266
EquiHeightHistogram,int,4,3.00156e+06,100,0.0992139
EquiHeightHistogram,string,4,100000,50,0.215112
EquiHeightHistogram,string,2,100000,50,0.227167
EquiHeightHistogram,float,8,3.00156e+06,100,0.251796
EquiHeightHistogram,string,3,300000,100,0.400412
EquiHeightHistogram,string,6,300000,100,0.512451
EquiHeightHistogram,string,7,300000,100,0.522691
EquiHeightHistogram,string,8,300000,100,0.62231
EquiHeightHistogram,string,11,300000,100,0.638707
EquiHeightHistogram,int,1,300000,10,0.00187577
EquiHeightHistogram,string,7,300000,100,0.802868
EquiHeightHistogram,string,20,300000,100,0.997574
EquiHeightHistogram,string,10,300000,100,0.0342957
EquiHeightHistogram,int,0,300000,100,0.00241276
EquiHeightHistogram,string,4,1e+06,100,1.54839
EquiHeightHistogram,string,5,1e+06,100,1.56352
EquiHeightHistogram,string,16,1e+06,100,1.72367
EquiHeightHistogram,string,8,1e+06,100,1.84864
EquiHeightHistogram,string,9,1e+06,100,1.92203
EquiHeightHistogram,string,3,1e+06,100,1.93977
EquiHeightHistogram,string,12,1e+06,100,1.96104
EquiHeightHistogram,int,2,1e+06,91,0.00606989
EquiHeightHistogram,string,10,1e+06,100,1.9791
EquiHeightHistogram,int,0,1e+06,100,0.00914933
EquiHeightHistogram,string,7,1e+06,100,1.99059
EquiHeightHistogram,string,11,1e+06,100,2.08338
EquiHeightHistogram,int,1,1e+06,10,0.00607476
EquiHeightHistogram,string,6,1e+06,100,1.38929
EquiHeightHistogram,string,9,3.00156e+06,100,4.69377
