HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiWidthHistogram,float,8,100,5,0.000163364
EquiWidthHistogram,float,8,10,1,5.4291e-05
EquiHeightHistogram,string,5,100,5,0.000183376
EquiHeightHistogram,string,6,10,5,0.000109089
EquiHeightHistogram,string,4,100,5,0.000203466
EquiHeightHistogram,string,2,100,5,0.000198655
EquiWidthHistogram,float,9,100,1,0.00015219
EquiHeightHistogram,string,2,10,5,0.000151674
EquiWidthHistogram,float,7,10,5,9.1962e-05
EquiHeightHistogram,string,3,10,5,0.000230604
EquiWidthHistogram,int,10,100,1,6.9627e-05
EquiHeightHistogram,string,5,10,5,9.2786e-05
EquiHeightHistogram,string,1,10,5,0.000154263
EquiWidthHistogram,int,0,10,5,0.000200162
EquiHeightHistogram,string,6,100,5,0.000247608
EquiHeightHistogram,string,4,10,5,0.000251884
EquiHeightHistogram,string,7,100,5,0.000472636
EquiHeightHistogram,string,3,100,5,0.000510794
EquiWidthHistogram,int,0,100,5,1.0906e-05
EquiWidthHistogram,int,1,100,5,2.9056e-05
EquiWidthHistogram,int,5,210000,10,0.00172409
EquiWidthHistogram,int,4,300000,1,0.0019469
EquiWidthHistogram,int,2,300000,10,0.00197404
EquiWidthHistogram,int,4,300000,10,0.00194112
EquiWidthHistogram,int,6,300000,11,0.00194423
EquiWidthHistogram,int,1,300000,10,0.00199741
EquiWidthHistogram,int,1,300000,10,0.0021871
EquiWidthHistogram,int,3,300000,100,0.00232429
EquiWidthHistogram,int,7,300000,1,0.00214859
EquiWidthHistogram,int,19,300000,1,0.00208829
EquiWidthHistogram,int,5,300000,1,0.00233262
EquiWidthHistogram,int,0,300000,100,0.0030205
EquiWidthHistogram,int,0,300000,100,0.00309159
EquiWidthHistogram,int,12,300000,1,0.00214416
EquiWidthHistogram,int,2,300000,10,0.00332723
EquiWidthHistogram,int,1,90000,10,0.000608704
EquiWidthHistogram,int,0,90000,45,0.00127897
EquiWidthHistogram,int,3,300000,10,0.00190494
EquiWidthHistogram,float,6,300000,1,0.00392815
EquiWidthHistogram,float,17,300000,1,0.00556927
EquiWidthHistogram,float,16,300000,1,0.00556006
EquiWidthHistogram,float,14,300000,1,0.00557557
EquiWidthHistogram,int,2,90000,10,0.00165661
EquiWidthHistogram,int,14,1e+06,1,0.00762586
EquiWidthHistogram,int,2,300000,10,0.00536311
EquiWidthHistogram,int,18,300000,1,0.00464691
EquiWidthHistogram,int,15,1e+06,1,0.00855573
EquiWidthHistogram,int,13,1e+06,1,0.00860629
EquiWidthHistogram,int,1,100000,50,0.0080378
EquiWidthHistogram,float,15,300000,100,0.00992828
EquiWidthHistogram,int,3,3.00156e+06,15,0.0184375
EquiHeightHistogram,string,13,300000,2,0.0201317
EquiHeightHistogram,string,4,300000,1,0.0143875
EquiWidthHistogram,int,6,2.10079e+06,1,0.0199418
EquiWidthHistogram,int,1,3.00156e+06,10,0.0200221
EquiWidthHistogram,int,0,3.00156e+06,100,0.0233962
EquiWidthHistogram,int,5,3.00156e+06,10,0.0216359
EquiHeightHistogram,string,9,300000,100,0.0219607
EquiWidthHistogram,int,2,3.00156e+06,10,0.024177
EquiWidthHistogram,float,3,100000,50,0.0281217
EquiWidthHistogram,int,7,3.00156e+06,1,0.0309285
EquiHeightHistogram,string,5,300000,100,0.035235
EquiWidthHistogram,int,0,100000,50,0.0468089
EquiWidthHistogram,int,4,3.00156e+06,100,0.122806
EquiHeightHistogram,string,2,100000,50,0.150622
EquiWidthHistogram,float,8,3.00156e+06,100,0.221187
EquiHeightHistogram,string,4,100000,50,0.295249
EquiHeightHistogram,string,3,300000,100,0.409603
EquiHeightHistogram,string,7,300000,100,0.512323
EquiHeightHistogram,string,6,300000,100,0.61189
EquiHeightHistogram,string,8,300000,100,0.617068
EquiHeightHistogram,string,11,300000,100,0.624443
EquiWidthHistogram,int,1,300000,10,0.00191343
EquiHeightHistogram,string,7,300000,100,0.679317
EquiHeightHistogram,string,20,300000,100,1.18056
EquiHeightHistogram,string,10,300000,100,0.0353209
EquiWidthHistogram,int,0,300000,100,0.0021742
EquiHeightHistogram,string,11,1e+06,100,1.3799
EquiWidthHistogram,int,1,1e+06,10,0.00623034
EquiHeightHistogram,string,9,1e+06,100,1.52442
EquiHeightHistogram,string,5,1e+06,100,1.56403
EquiHeightHistogram,string,4,1e+06,100,1.6046
EquiHeightHistogram,string,16,1e+06,100,1.75315
EquiHeightHistogram,string,8,1e+06,100,1.79022
EquiHeightHistogram,string,7,1e+06,100,1.80709
EquiHeightHistogram,string,12,1e+06,100,1.87908
EquiWidthHistogram,int,2,1e+06,91,0.006497
EquiHeightHistogram,string,3,1e+06,100,1.87849
EquiHeightHistogram,string,10,1e+06,100,1.89817
EquiWidthHistogram,int,0,1e+06,100,0.00993924
EquiHeightHistogram,string,6,1e+06,100,1.42037
EquiHeightHistogram,string,9,3.00156e+06,100,4.44602
