benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
,EquiWidthHistogram,,0,TableScan,10,1,10.000000,1.000000
,EquiWidthHistogram,,1,TableScan,100,10,100.000000,10.000000
,EquiWidthHistogram,,2,TableScan,100,10,100.000000,10.000000
,EquiWidthHistogram,,3,TableScan,65535,21,65535.000000,21.845001
,EquiWidthHistogram,,4,TableScan,65535,1,65535.000000,0.655519
,EquiWidthHistogram,,5,TableScan,131070,100000,0.000000,0.000000
,EquiWidthHistogram,,6,TableScan,131070,100000,0.000000,0.000000
,EquiWidthHistogram,,7,TableScan,65535,1,65535.000000,0.655519
,EquiWidthHistogram,,8,TableScan,65535,65535,0.000000,0.000000
,EquiWidthHistogram,,9,TableScan,65535,65535,0.000000,0.000000
,EquiWidthHistogram,,10,TableScan,65535,1,65535.000000,0.655519
,EquiWidthHistogram,,11,TableScan,65535,65535,0.000000,0.000000
,EquiWidthHistogram,,12,TableScan,65535,65535,0.000000,0.000000
,EquiWidthHistogram,,13,TableScan,34465,1,34465.000000,0.344971
,EquiWidthHistogram,,14,TableScan,65538,34468,0.000000,0.000000
,EquiWidthHistogram,,15,TableScan,65538,34468,0.000000,0.000000
,EquiWidthHistogram,,16,TableScan,65535,1,65535.000000,0.655519
,EquiWidthHistogram,,17,TableScan,65536,65536,0.000000,0.000000
,EquiWidthHistogram,,18,TableScan,65536,65536,0.000000,0.000000
,EquiWidthHistogram,,19,TableScan,65535,1,65535.000000,0.655519
,EquiWidthHistogram,,20,TableScan,65540,51955,0.000000,0.000000
,EquiWidthHistogram,,21,TableScan,65540,51955,0.000000,0.000000
,EquiWidthHistogram,,22,TableScan,65535,1,65535.000000,0.655519
,EquiWidthHistogram,,23,TableScan,65537,65536,0.000000,0.000000
,EquiWidthHistogram,,24,TableScan,65537,65536,0.000000,0.000000
