HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,int,0,90000,45,0.00130582
GDYHistogram,float,7,10,5,0.000491322
GDYHistogram,int,1,100,5,0.000278091
EquiHeightHistogram,string,2,10,5,0.00162885
GDYHistogram,float,8,10,1,0.000452013
EquiHeightHistogram,string,3,10,5,0.00163213
EquiHeightHistogram,string,1,10,5,0.0016344
EquiHeightHistogram,string,5,10,5,0.00162254
EquiHeightHistogram,string,6,10,5,0.00165268
GDYHistogram,int,10,100,1,0.00109858
EquiHeightHistogram,string,2,100,5,0.00216442
GDYHistogram,int,12,300000,1,0.003071
GDYHistogram,int,18,300000,1,0.00303406
GDYHistogram,int,0,100,5,0.000725461
GDYHistogram,float,8,100,5,0.000987778
EquiHeightHistogram,string,4,10,5,0.00333886
EquiHeightHistogram,string,7,100,5,0.000312334
GDYHistogram,int,2,90000,10,0.00313387
GDYHistogram,float,9,100,1,0.000961641
EquiHeightHistogram,string,4,100,5,0.0031634
EquiHeightHistogram,string,3,100,5,0.00316408
GDYHistogram,int,1,90000,10,0.00320992
GDYHistogram,int,0,10,5,0.00315031
GDYHistogram,int,5,300000,1,0.00197777
GDYHistogram,int,19,300000,1,0.00302864
EquiHeightHistogram,string,5,100,5,0.003236
EquiHeightHistogram,string,6,100,5,0.00327756
GDYHistogram,int,5,210000,10,0.00148133
GDYHistogram,int,2,300000,10,0.00188766
GDYHistogram,int,2,300000,10,0.00184226
GDYHistogram,float,17,300000,1,0.00492777
GDYHistogram,int,4,300000,10,0.00291172
GDYHistogram,int,2,300000,10,0.00383271
GDYHistogram,int,7,300000,1,0.00202141
GDYHistogram,float,16,300000,1,0.00499937
GDYHistogram,float,6,300000,1,0.00552698
GDYHistogram,int,1,300000,10,0.00285416
GDYHistogram,int,4,300000,1,0.00422526
GDYHistogram,int,0,300000,100,0.00629366
GDYHistogram,int,3,300000,100,0.00656681
GDYHistogram,int,1,300000,10,0.00462742
GDYHistogram,float,14,300000,1,0.00669108
GDYHistogram,int,6,300000,11,0.00486541
GDYHistogram,float,3,100000,50,0.00769935
GDYHistogram,float,15,300000,100,0.0113158
GDYHistogram,int,3,300000,10,0.0121323
GDYHistogram,int,14,1e+06,1,0.0092956
GDYHistogram,int,15,1e+06,1,0.0100485
GDYHistogram,int,13,1e+06,1,0.0100676
GDYHistogram,int,0,300000,100,0.0132176
EquiHeightHistogram,string,13,300000,2,0.0147913
GDYHistogram,int,6,2.10079e+06,1,0.0189456
EquiHeightHistogram,string,9,300000,100,0.016363
GDYHistogram,int,3,3.00156e+06,15,0.0201292
GDYHistogram,int,1,3.00156e+06,10,0.0196806
GDYHistogram,int,5,3.00156e+06,10,0.0203396
GDYHistogram,int,7,3.00156e+06,1,0.0195995
GDYHistogram,int,0,3.00156e+06,100,0.0226421
GDYHistogram,int,2,3.00156e+06,10,0.0261435
EquiHeightHistogram,string,4,300000,1,0.0167523
GDYHistogram,int,1,100000,50,0.0262852
EquiHeightHistogram,string,5,300000,100,0.0239665
GDYHistogram,int,0,100000,50,0.0991858
GDYHistogram,int,4,3.00156e+06,100,0.181188
EquiHeightHistogram,string,4,100000,50,0.197032
EquiHeightHistogram,string,2,100000,50,0.260331
EquiHeightHistogram,string,3,300000,100,0.369796
EquiHeightHistogram,string,8,300000,100,0.428909
EquiHeightHistogram,string,7,300000,100,0.511327
EquiHeightHistogram,string,6,300000,100,0.525698
EquiHeightHistogram,string,7,300000,100,0.54573
GDYHistogram,float,8,3.00156e+06,100,0.619176
EquiHeightHistogram,string,11,300000,100,0.800918
GDYHistogram,int,1,300000,10,0.00198642
EquiHeightHistogram,string,20,300000,100,1.33627
EquiHeightHistogram,string,10,300000,100,0.0339666
GDYHistogram,int,0,300000,100,0.00457134
EquiHeightHistogram,string,8,1e+06,100,1.67546
EquiHeightHistogram,string,10,1e+06,100,1.67654
EquiHeightHistogram,string,11,1e+06,100,1.68423
GDYHistogram,int,1,1e+06,10,0.00612359
GDYHistogram,int,0,1e+06,100,0.0734466
EquiHeightHistogram,string,12,1e+06,100,1.79173
GDYHistogram,int,2,1e+06,91,0.00659436
EquiHeightHistogram,string,16,1e+06,100,1.9312
EquiHeightHistogram,string,7,1e+06,100,2.02681
EquiHeightHistogram,string,3,1e+06,100,2.06507
EquiHeightHistogram,string,5,1e+06,100,2.06603
EquiHeightHistogram,string,9,1e+06,100,2.16129
EquiHeightHistogram,string,4,1e+06,100,2.15628
EquiHeightHistogram,string,6,1e+06,100,1.26476
EquiHeightHistogram,string,9,3.00156e+06,100,5.15181
