HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,string,5,20,5,0.000301171
EquiHeightHistogram,string,20,42,3,0.000270883
EquiHeightHistogram,string,18,42,5,0.000282901
EquiHeightHistogram,string,2,20,5,0.000343256
EquiHeightHistogram,int,13,198,5,0.000262012
EquiHeightHistogram,int,12,199,5,0.00022705
EquiHeightHistogram,string,6,199,2,0.000279476
EquiHeightHistogram,int,4,199,5,0.000316207
EquiHeightHistogram,string,19,42,5,0.000282778
EquiHeightHistogram,int,10,198,5,0.000333352
EquiHeightHistogram,string,17,42,5,0.000268504
EquiHeightHistogram,string,16,42,5,0.000292782
EquiHeightHistogram,string,8,42,5,3.2393e-05
EquiHeightHistogram,string,3,100,3,3.4697e-05
EquiHeightHistogram,int,9,42,5,8.863e-06
EquiHeightHistogram,int,0,200,5,3.7818e-05
EquiHeightHistogram,string,7,42,1,2.7064e-05
EquiHeightHistogram,int,6,35,5,0.000131011
EquiHeightHistogram,int,11,198,5,0.000208588
EquiHeightHistogram,string,1,20,5,0.00028703
EquiHeightHistogram,string,1,200,5,0.000276941
EquiHeightHistogram,string,21,24,5,0.000179705
EquiHeightHistogram,string,28,24,1,2.7761e-05
EquiHeightHistogram,string,23,24,5,0.000139655
EquiHeightHistogram,int,18,24,5,5.2473e-05
EquiHeightHistogram,string,25,24,3,0.000415862
EquiHeightHistogram,int,8,24,5,0.000137445
EquiHeightHistogram,string,2,200,4,0.00137128
EquiHeightHistogram,string,22,42,5,0.000235583
EquiHeightHistogram,string,13,24,5,0.00027845
EquiHeightHistogram,string,15,24,5,5.8996e-05
EquiHeightHistogram,string,24,24,5,0.00052957
EquiHeightHistogram,string,27,24,5,0.000500494
EquiHeightHistogram,string,10,42,5,0.001457
EquiHeightHistogram,string,22,24,5,0.00057971
EquiHeightHistogram,int,5,24,5,6.2734e-05
EquiHeightHistogram,string,3,12,3,4.1496e-05
EquiHeightHistogram,string,9,10,2,4.4804e-05
EquiHeightHistogram,int,12,24,5,1.5661e-05
EquiHeightHistogram,string,17,24,5,3.9064e-05
EquiHeightHistogram,string,14,24,5,9.7705e-05
EquiHeightHistogram,int,5,200,5,0.00218093
EquiHeightHistogram,string,12,42,5,0.000114031
EquiHeightHistogram,string,7,24,3,2.5365e-05
EquiHeightHistogram,int,0,42,5,0.000132603
EquiHeightHistogram,string,8,10,4,8.8775e-05
EquiHeightHistogram,string,6,9,5,0.000203537
EquiHeightHistogram,string,2,24,4,8.8577e-05
EquiHeightHistogram,float,13,9,1,0.000130972
EquiHeightHistogram,string,2,42,4,0.000123765
EquiHeightHistogram,int,3,9,5,1.6471e-05
EquiHeightHistogram,string,10,10,2,3.4571e-05
EquiHeightHistogram,int,0,10,5,1.9594e-05
