HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,5,9,3,0.00234366
MaxDiffFrequencyHistogram,string,9,10,1,0.000102188
MaxDiffFrequencyHistogram,string,21,24,2,6.4033e-05
MaxDiffFrequencyHistogram,string,7,9,3,0.00235467
MaxDiffFrequencyHistogram,string,23,24,3,0.000114625
MaxDiffFrequencyHistogram,string,1,20,3,6.9174e-05
MaxDiffFrequencyHistogram,string,10,10,1,0.00121269
MaxDiffFrequencyHistogram,string,22,24,3,0.000170524
MaxDiffFrequencyHistogram,string,6,9,3,0.00238094
MaxDiffFrequencyHistogram,string,11,24,3,4.548e-05
MaxDiffFrequencyHistogram,float,13,9,1,0.00237526
MaxDiffFrequencyHistogram,int,13,198,3,4.8747e-05
MaxDiffFrequencyHistogram,int,0,10,3,2.1337e-05
MaxDiffFrequencyHistogram,string,1,24,3,2.5529e-05
MaxDiffFrequencyHistogram,int,11,198,3,0.000147307
MaxDiffFrequencyHistogram,int,12,24,2,4.9163e-05
MaxDiffFrequencyHistogram,string,2,24,2,2.717e-05
MaxDiffFrequencyHistogram,int,3,9,3,5.6457e-05
MaxDiffFrequencyHistogram,string,3,100,1,2.5857e-05
MaxDiffFrequencyHistogram,string,13,24,3,4.836e-05
MaxDiffFrequencyHistogram,string,12,10,1,0.00238532
MaxDiffFrequencyHistogram,string,3,12,1,1.2189e-05
MaxDiffFrequencyHistogram,string,6,199,1,0.000352239
MaxDiffFrequencyHistogram,string,2,9,3,6.1057e-05
MaxDiffFrequencyHistogram,int,7,53,3,0.000657323
MaxDiffFrequencyHistogram,int,4,199,3,0.000672522
MaxDiffFrequencyHistogram,string,1,200,3,0.000261221
MaxDiffFrequencyHistogram,int,5,200,3,0.000675925
MaxDiffFrequencyHistogram,string,27,24,3,0.000800244
MaxDiffFrequencyHistogram,string,9,199,3,0.00054007
MaxDiffFrequencyHistogram,string,8,10,3,0.000703857
MaxDiffFrequencyHistogram,string,8,200,1,0.00059939
MaxDiffFrequencyHistogram,string,17,24,3,2.6083e-05
MaxDiffFrequencyHistogram,string,7,24,1,2.6812e-05
MaxDiffFrequencyHistogram,string,9,494,1,3.7505e-05
MaxDiffFrequencyHistogram,string,15,494,1,5.3488e-05
MaxDiffFrequencyHistogram,string,12,492,1,4.5096e-05
MaxDiffFrequencyHistogram,string,18,490,1,4.1598e-05
MaxDiffFrequencyHistogram,float,5,492,1,5.5334e-05
MaxDiffFrequencyHistogram,string,11,10,3,4.4144e-05
MaxDiffFrequencyHistogram,string,8,493,1,4.4716e-05
MaxDiffFrequencyHistogram,string,14,493,1,7.8512e-05
MaxDiffFrequencyHistogram,string,4,9,3,4.3985e-05
MaxDiffFrequencyHistogram,string,1,10,3,3.2832e-05
MaxDiffFrequencyHistogram,int,2,493,3,0.000150474
MaxDiffFrequencyHistogram,float,25,42,3,0.000129144
MaxDiffFrequencyHistogram,string,18,42,3,0.000208894
MaxDiffFrequencyHistogram,string,8,42,3,4.0487e-05
MaxDiffFrequencyHistogram,string,15,42,3,0.000137711
MaxDiffFrequencyHistogram,int,4,491,3,0.000340326
MaxDiffFrequencyHistogram,string,22,42,3,8.7137e-05
MaxDiffFrequencyHistogram,string,28,24,1,7.1592e-05
MaxDiffFrequencyHistogram,int,5,42,3,2.9222e-05
MaxDiffFrequencyHistogram,int,2,20,3,4.3203e-05
MaxDiffFrequencyHistogram,float,29,24,1,0.000139738
MaxDiffFrequencyHistogram,int,18,24,3,3e-05
MaxDiffFrequencyHistogram,int,8,24,3,3.199e-05
MaxDiffFrequencyHistogram,string,19,24,3,8.103e-05
MaxDiffFrequencyHistogram,string,12,42,3,0.000102095
MaxDiffFrequencyHistogram,int,9,24,2,2.7552e-05
MaxDiffFrequencyHistogram,string,2,42,2,3.7007e-05
MaxDiffFrequencyHistogram,string,19,42,2,0.000391776
MaxDiffFrequencyHistogram,string,10,495,1,0.000295228
MaxDiffFrequencyHistogram,string,25,24,1,0.000348029
MaxDiffFrequencyHistogram,string,24,24,3,0.00061592
MaxDiffFrequencyHistogram,int,0,500,3,0.00013285
MaxDiffFrequencyHistogram,int,9,42,3,7.6106e-05
MaxDiffFrequencyHistogram,int,0,20,3,0.000228751
MaxDiffFrequencyHistogram,string,15,24,3,0.000158385
MaxDiffFrequencyHistogram,string,5,20,3,0.000757922
MaxDiffFrequencyHistogram,string,14,24,3,0.000182675
MaxDiffFrequencyHistogram,int,5,24,3,6.0608e-05
MaxDiffFrequencyHistogram,string,26,24,1,0.000256085
MaxDiffFrequencyHistogram,string,3,20,3,4.0973e-05
MaxDiffFrequencyHistogram,float,11,242496,3,0.00709572
