HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,string,1,5,5,0.000141969
GDYHistogram,int,0,25,5,0.000244639
EquiHeightHistogram,string,1,25,5,0.000359588
GDYHistogram,int,2,25,5,0.000378869
GDYHistogram,int,3,100000,25,0.000978788
GDYHistogram,int,0,5,5,0.000186159
EquiHeightHistogram,string,2,5,5,0.000189479
EquiHeightHistogram,string,3,25,5,0.00257632
GDYHistogram,int,5,2e+06,50,0.028344
GDYHistogram,int,0,100000,50,0.0422148
GDYHistogram,int,3,1.5e+06,25,0.0511837
GDYHistogram,float,7,2e+06,100,0.0745679
GDYHistogram,float,5,100000,50,0.098044
EquiHeightHistogram,string,4,100000,50,0.115059
EquiHeightHistogram,string,3,2e+06,25,0.116467
EquiHeightHistogram,string,2,2e+06,5,0.130917
EquiHeightHistogram,string,6,2e+06,40,0.141714
EquiHeightHistogram,string,6,1.5e+06,5,0.160397
EquiHeightHistogram,string,2,100000,50,0.215747
EquiHeightHistogram,string,1,100000,50,0.232104
EquiHeightHistogram,string,4,2e+06,100,0.226981
GDYHistogram,int,7,1.5e+07,1,0.166913
EquiHeightHistogram,string,6,100000,50,0.258338
GDYHistogram,int,2,8e+06,100,0.140438
GDYHistogram,int,1,8e+06,100,0.249349
GDYHistogram,float,3,8e+06,100,0.409605
EquiHeightHistogram,string,2,1.5e+07,3,0.54754
GDYHistogram,float,5,1.5e+06,100,0.873084
GDYHistogram,float,7,5.9986e+07,9,0.811863
EquiHeightHistogram,string,4,1.5e+07,100,0.954015
GDYHistogram,float,6,5.99861e+07,11,0.889749
EquiHeightHistogram,string,5,1.5e+07,5,1.18623
GDYHistogram,int,0,1.5e+06,100,1.33305
GDYHistogram,int,1,1.5e+07,100,1.31736
EquiHeightHistogram,string,4,1.5e+06,100,1.39752
EquiHeightHistogram,string,6,1.5e+07,100,1.4415
GDYHistogram,int,0,2e+06,100,1.51866
EquiHeightHistogram,string,8,2e+06,100,1.70636
GDYHistogram,int,0,8e+06,100,1.62227
EquiHeightHistogram,string,9,3.35544e+07,2,2.03253
EquiHeightHistogram,string,1,1.5e+06,100,2.40071
EquiHeightHistogram,string,8,4.63895e+07,3,2.26924
EquiHeightHistogram,string,2,1.5e+06,100,2.80977
EquiHeightHistogram,string,1,2e+06,100,3.68622
EquiHeightHistogram,string,7,1.5e+06,100,3.70477
EquiHeightHistogram,string,14,5.99861e+07,7,3.72714
EquiHeightHistogram,string,11,5.99861e+07,100,3.79696
EquiHeightHistogram,string,10,5.99861e+07,100,3.85694
EquiHeightHistogram,string,12,5.99861e+07,100,3.8962
EquiHeightHistogram,string,13,5.99861e+07,4,4.53301
GDYHistogram,float,4,5.9986e+07,50,0.907884
GDYHistogram,int,3,5.99861e+07,7,0.362651
GDYHistogram,int,2,5.9986e+07,100,1.46336
GDYHistogram,int,1,5.9986e+07,100,4.14007
GDYHistogram,int,0,1.5e+07,100,17.4394
EquiHeightHistogram,string,4,8e+06,100,18.7465
GDYHistogram,float,3,1.5e+07,100,21.068
GDYHistogram,int,0,5.9986e+07,100,18.016
EquiHeightHistogram,string,8,1.5e+07,100,31.4443
EquiHeightHistogram,string,15,4.09454e+07,100,86.0058
GDYHistogram,float,5,5.99861e+07,100,4.9809
