HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,1,25,3,0.000286796
MaxDiffFrequencyHistogram,string,3,25,3,0.000269302
MaxDiffFrequencyHistogram,int,0,25,3,0.000108079
MaxDiffFrequencyHistogram,string,2,5,3,0.000538163
MaxDiffFrequencyHistogram,int,2,25,3,0.000105841
MaxDiffFrequencyHistogram,string,1,5,3,0.000551663
MaxDiffFrequencyHistogram,int,0,5,3,5.6149e-05
MaxDiffFrequencyHistogram,int,3,100000,12,0.000644752
MaxDiffFrequencyHistogram,int,3,1.5e+06,13,0.010814
MaxDiffFrequencyHistogram,int,5,2e+06,23,0.0129628
MaxDiffFrequencyHistogram,float,5,100000,29,0.0347755
MaxDiffFrequencyHistogram,int,0,100000,4,0.0633658
MaxDiffFrequencyHistogram,string,6,1.5e+06,3,0.0808816
MaxDiffFrequencyHistogram,float,7,2e+06,99,0.0999663
MaxDiffFrequencyHistogram,int,1,8e+06,6,0.0966533
MaxDiffFrequencyHistogram,int,7,1.5e+07,1,0.091543
MaxDiffFrequencyHistogram,string,3,2e+06,10,0.109877
MaxDiffFrequencyHistogram,string,6,2e+06,21,0.128218
MaxDiffFrequencyHistogram,string,4,100000,4,0.140623
MaxDiffFrequencyHistogram,string,2,2e+06,3,0.153575
MaxDiffFrequencyHistogram,int,2,8e+06,89,0.179732
MaxDiffFrequencyHistogram,string,1,100000,4,0.176265
MaxDiffFrequencyHistogram,string,2,100000,4,0.197219
MaxDiffFrequencyHistogram,string,4,2e+06,56,0.219003
MaxDiffFrequencyHistogram,string,6,100000,27,0.263894
MaxDiffFrequencyHistogram,float,3,8e+06,97,0.307052
MaxDiffFrequencyHistogram,int,0,1.5e+06,6,0.309264
MaxDiffFrequencyHistogram,int,0,8e+06,8,0.363054
MaxDiffFrequencyHistogram,float,5,1.5e+06,71,0.371563
MaxDiffFrequencyHistogram,int,0,2e+06,8,0.375234
MaxDiffFrequencyHistogram,string,2,1.5e+07,1,0.502099
MaxDiffFrequencyHistogram,float,7,5.99861e+07,2,0.784862
MaxDiffFrequencyHistogram,float,6,5.99861e+07,3,0.862528
MaxDiffFrequencyHistogram,int,1,1.5e+07,87,0.964034
MaxDiffFrequencyHistogram,string,5,1.5e+07,2,0.990909
MaxDiffFrequencyHistogram,string,4,1.5e+07,91,0.997181
MaxDiffFrequencyHistogram,string,6,1.5e+07,93,1.35281
MaxDiffFrequencyHistogram,string,8,2e+06,89,1.51637
MaxDiffFrequencyHistogram,string,4,1.5e+06,53,1.78817
MaxDiffFrequencyHistogram,string,8,4.63895e+07,1,2.23278
MaxDiffFrequencyHistogram,string,2,1.5e+06,6,2.4115
MaxDiffFrequencyHistogram,string,1,1.5e+06,6,2.52422
MaxDiffFrequencyHistogram,string,7,1.5e+06,53,3.13822
MaxDiffFrequencyHistogram,int,0,1.5e+07,8,3.30482
MaxDiffFrequencyHistogram,string,9,3.35544e+07,1,3.39036
MaxDiffFrequencyHistogram,string,11,5.99861e+07,91,3.49842
MaxDiffFrequencyHistogram,string,10,5.99861e+07,85,3.94319
MaxDiffFrequencyHistogram,string,1,2e+06,51,4.07272
MaxDiffFrequencyHistogram,string,13,5.99861e+07,3,4.76753
MaxDiffFrequencyHistogram,string,14,5.99861e+07,4,4.81517
MaxDiffFrequencyHistogram,float,3,1.5e+07,69,5.02898
MaxDiffFrequencyHistogram,int,3,5.99861e+07,5,0.358359
MaxDiffFrequencyHistogram,int,1,5.99862e+07,99,2.11237
MaxDiffFrequencyHistogram,float,4,5.9986e+07,18,0.887891
MaxDiffFrequencyHistogram,string,12,5.99861e+07,93,5.94446
MaxDiffFrequencyHistogram,int,0,5.99804e+07,91,3.94529
MaxDiffFrequencyHistogram,int,2,5.99864e+07,93,2.20273
MaxDiffFrequencyHistogram,string,4,8e+06,57,18.6622
MaxDiffFrequencyHistogram,string,8,1.5e+07,75,33.6634
MaxDiffFrequencyHistogram,string,15,4.09454e+07,77,91.2887
MaxDiffFrequencyHistogram,float,5,5.99781e+07,65,4.45823
