benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,MaxDiffFrequencyHistogram,TPC-H 01,0,TableScan,59986052,59608678,59986052.000000,59969724.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,0,TableScan,2000000,39905,2000000.000000,39954.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,1,JoinHashLeft,8000000,31496,8000000.000000,15981.599609
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,2,JoinHashLeft,100000,20042,100000.000000,20000.001953
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,3,JoinHashLeft,100000,20042,100000.000000,20000.001953
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,6,TableScan,5,1,5.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 03,0,JoinHashLeft,59986052,5780038,59986052.000000,8853914.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 03,1,JoinHashLeft,15000000,3002982,15000000.000000,4498376.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 03,2,TableScan,1500000,300441,1500000.000000,299896.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 04,0,TableScan,15000000,573776,15000000.000000,656692.312500
TPC-H,MaxDiffFrequencyHistogram,TPC-H 04,1,JoinHashLeft,59986052,2297233,59986052.000000,2626138.250000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 05,0,JoinHashRight,1500000,1828106,1500000.000000,1572399.625000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 05,1,TableScan,15000000,2275919,15000000.000000,1965971.875000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 05,2,JoinHashLeft,59986052,9103367,59986052.000000,7862000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 05,3,JoinHashLeft,100000,20051,100000.000000,20000.001953
TPC-H,MaxDiffFrequencyHistogram,TPC-H 05,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 06,0,TableScan,59986052,10907886,59986052.000000,7279628.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 07,0,JoinHashLeft,100000,8054,100000.000000,4000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 07,1,TableScan,25,1,25.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 07,2,TableScan,25,1,25.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 07,3,JoinHashLeft,15000000,1191905,15000000.000000,899986.625000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 07,4,JoinHashLeft,59986052,4832933,59986052.000000,2399442.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 07,5,JoinHashLeft,1500000,119279,1500000.000000,59999.988281
TPC-H,MaxDiffFrequencyHistogram,TPC-H 08,0,JoinHashRight,25,24100,25.000000,116259.187500
TPC-H,MaxDiffFrequencyHistogram,TPC-H 08,1,JoinHashLeft,100000,24100,100000.000000,116259.195312
TPC-H,MaxDiffFrequencyHistogram,TPC-H 08,2,JoinHashLeft,1500000,299493,1500000.000000,300000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 08,3,JoinHashLeft,59986052,397400,59986052.000000,397962.656250
TPC-H,MaxDiffFrequencyHistogram,TPC-H 08,4,JoinHashLeft,25,5,25.000000,5.000000
