name,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H 01,TableScan,60175,59775,60175.000000,60148.539062
TPC-H 02,JoinHashRight,9,8,4.111111,16.444445
TPC-H 02,Aggregate,8,7,16.444445,16.444445
TPC-H 02,JoinHashLeft,8,8,16.444445,16.444445
TPC-H 02,JoinHashLeft,12,12,20.000002,20.000002
TPC-H 02,JoinHashRight,5,12,5.000000,20.000002
TPC-H 02,TableScan,2000,27,2000.000000,41.111111
TPC-H 02,JoinHashLeft,8000,36,8000.000000,16.444445
TPC-H 02,JoinHashRight,9,36,4.111111,16.444445
TPC-H 02,JoinHashLeft,100,12,100.000000,20.000002
TPC-H 02,JoinHashLeft,100,12,100.000000,20.000002
TPC-H 02,JoinHashRight,5,12,5.000000,20.000002
TPC-H 02,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 02,JoinHashRight,1,5,1.000000,5.000000
TPC-H 02,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 02,TableScan,5,1,5.000000,1.000000
TPC-H 02,TableScan,5,1,5.000000,1.000000
TPC-H 03,JoinHashLeft,216,216,5275.056641,5275.058105
TPC-H 03,JoinHashRight,1221,216,2459.663574,5275.058105
TPC-H 03,JoinHashLeft,60175,4911,60175.000000,9839.631836
TPC-H 03,JoinHashRight,1221,4911,2459.663574,9839.631836
TPC-H 03,JoinHashLeft,15000,2536,15000.000000,4311.281250
TPC-H 03,JoinHashRight,288,2536,288.000000,4311.281250
TPC-H 03,TableScan,1500,288,1500.000000,288.000000
TPC-H 04,JoinHashLeft,544,508,0.007483,0.007462
TPC-H 04,TableScan,2227,1423,0.029935,0.029935
TPC-H 04,TableScan,15000,544,15000.000000,0.007483
TPC-H 04,JoinHashLeft,60175,2227,60175.000000,0.029935
TPC-H 04,JoinHashRight,544,2227,0.007483,0.029935
TPC-H 05,JoinHashRight,1500,1863,1500.000000,1710.570679
TPC-H 05,JoinHashRight,2303,1863,2138.000488,1710.570679
TPC-H 05,JoinHashLeft,1863,1863,1710.570435,1710.570435
TPC-H 05,JoinHashLeft,20,20,20.000002,20.000002
TPC-H 05,JoinHashRight,5,20,5.000000,20.000002
TPC-H 05,TableScan,15000,2303,15000.000000,2138.000488
TPC-H 05,JoinHashLeft,60175,9284,60175.000000,8552.851562
TPC-H 05,JoinHashRight,2303,9284,2138.000488,8552.851562
TPC-H 05,JoinHashLeft,100,20,100.000000,20.000002
TPC-H 05,JoinHashRight,5,20,5.000000,20.000002
TPC-H 05,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 05,JoinHashRight,1,5,1.000000,5.000000
TPC-H 05,TableScan,5,1,5.000000,1.000000
TPC-H 06,TableScan,60175,9200,60175.000000,9961.997070
TPC-H 07,JoinHashLeft,98,98,236.780807,236.780792
TPC-H 07,JoinHashLeft,7,7,4.000000,4.000000
TPC-H 07,JoinHashLeft,1207,1207,898.183716,898.183716
TPC-H 07,JoinHashLeft,117,117,60.000000,60.000000
TPC-H 07,JoinHashLeft,100,7,100.000000,4.000000
TPC-H 07,TableScan,25,1,25.000000,1.000000
TPC-H 07,TableScan,25,1,25.000000,1.000000
TPC-H 07,JoinHashLeft,15000,1207,15000.000000,898.183716
TPC-H 07,JoinHashLeft,60175,4175,60175.000000,2407.000000
TPC-H 07,JoinHashLeft,1500,117,1500.000000,60.000000
TPC-H 08,JoinHashLeft,25,34,25.000000,54.622559
TPC-H 08,JoinHashLeft,100,34,100.000000,54.622562
TPC-H 08,JoinHashLeft,302,34,300.000000,54.622559
TPC-H 08,JoinHashLeft,139,140,54.622559,54.622551
TPC-H 08,JoinHashRight,475,140,382.402405,54.622551
TPC-H 08,JoinHashLeft,1500,302,1500.000000,300.000000
TPC-H 08,JoinHashRight,5,302,5.000000,300.000000
TPC-H 08,JoinHashLeft,60175,475,60175.000000,382.402405
TPC-H 08,JoinHashRight,16,475,12.709678,382.402405
TPC-H 08,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 08,JoinHashRight,1,5,1.000000,5.000000
TPC-H 08,JoinHashLeft,15000,468,15000.000000,382.251434
TPC-H 08,JoinHashRight,475,468,382.402405,382.251434
TPC-H 08,TableScan,2000,16,2000.000000,12.709678
TPC-H 08,TableScan,5,1,5.000000,1.000000
TPC-H 09,JoinHashLeft,436,13480,800.000000,24060.494141
TPC-H 09,JoinHashLeft,8000,436,8000.000000,800.000000
TPC-H 09,JoinHashRight,3370,436,6017.499512,800.000000
TPC-H 09,JoinHashLeft,15000,3370,15000.000000,6015.124023
TPC-H 09,JoinHashRight,3370,3370,6017.499512,6015.124023
TPC-H 09,JoinHashLeft,100,100,100.000000,100.000000
TPC-H 09,JoinHashRight,25,100,25.000000,100.000000
TPC-H 09,JoinHashLeft,60175,3370,60175.000000,6017.499512
TPC-H 09,JoinHashRight,109,3370,200.000000,6017.499512
TPC-H 09,TableScan,2000,109,2000.000000,200.000000
TPC-H 10,JoinHashLeft,988,988,2117.833496,2117.833740
TPC-H 10,JoinHashLeft,531,531,2137.765625,2137.765869
TPC-H 10,JoinHashLeft,1500,1500,1500.000000,1500.000000
TPC-H 10,JoinHashRight,25,1500,25.000000,1500.000000
TPC-H 10,JoinHashLeft,60175,2146,60175.000000,8551.914062
TPC-H 10,JoinHashRight,531,2146,2137.765625,8551.914062
TPC-H 10,TableScan,15000,531,15000.000000,2137.765625
TPC-H 11,JoinHashLeft,8000,560,8000.000000,320.000000
TPC-H 11,JoinHashRight,7,560,4.000000,320.000000
TPC-H 11,JoinHashLeft,100,7,100.000000,4.000000
TPC-H 11,JoinHashRight,1,7,1.000000,4.000000
TPC-H 11,TableScan,25,1,25.000000,1.000000
TPC-H 12,JoinHashRight,282,294,1419.252686,1419.252686
TPC-H 12,TableScan,2524,1614,2825.703613,2825.703613
TPC-H 12,JoinHashLeft,15000,282,15000.000000,1419.252686
TPC-H 12,TableScan,60175,8777,60175.000000,9973.998047
TPC-H 13,JoinHashLeft,1500,15334,1500.000000,13499.999023
TPC-H 13,JoinHashRight,14834,15334,13500.000000,13499.999023
TPC-H 13,TableScan,15000,14834,15000.000000,13500.000000
TPC-H 14,JoinHashLeft,770,770,666.388550,666.388611
TPC-H 14,JoinHashRight,2000,770,2000.000000,666.388611
TPC-H 14,TableScan,60175,770,60175.000000,666.388550
TPC-H 15,JoinHashRight,100,1,100.000000,1983.007812
TPC-H 15,TableScan,60175,2247,60175.000000,1983.007568
TPC-H 16,JoinHashLeft,1232,1232,736.702271,736.702271
TPC-H 16,TableScan,323,183,309.538757,184.175568
TPC-H 16,TableScan,323,125,309.538757,125.363205
TPC-H 16,JoinHashLeft,8000,1232,8000.000000,736.702271
TPC-H 16,TableScan,100,0,100.000000,10.000000
TPC-H 16,TableScan,2000,332,2000.000000,321.966675
TPC-H 17,JoinHashLeft,62,62,60.741035,60.741035
TPC-H 17,JoinHashRight,2,62,2.018813,60.741035
TPC-H 17,Aggregate,62,2,60.741035,60.741035
TPC-H 17,JoinHashLeft,60175,62,60175.000000,60.741035
TPC-H 17,JoinHashRight,2,62,2.018813,60.741035
TPC-H 17,TableScan,2000,30,2000.000000,48.500000
TPC-H 18,JoinHashLeft,60175,0,60175.000000,59931.007812
TPC-H 18,JoinHashLeft,0,0,14939.258789,14939.257812
TPC-H 18,JoinHashRight,1500,0,1500.000000,14939.257812
TPC-H 18,JoinHashLeft,15000,0,15000.000000,14939.258789
TPC-H 18,Aggregate,60175,15000,60175.000000,60175.000000
TPC-H 19,JoinHashLeft,0,0,1.000000,0.000000
TPC-H 19,TableScan,2000,74,2000.000000,77.199997
TPC-H 19,JoinHashLeft,60175,50,60175.000000,24.005764
TPC-H 19,TableScan,2000,77,2000.000000,79.199997
TPC-H 19,TableScan,2000,80,2000.000000,77.199997
TPC-H 20,JoinHashLeft,39,1,0.000001,0.000001
TPC-H 20,JoinHashRight,1,1,1.000000,0.000001
TPC-H 20,JoinHashLeft,100,39,100.000000,0.000001
TPC-H 20,JoinHashLeft,25,23,25.000000,0.000001
TPC-H 20,JoinHashRight,39,23,0.000001,0.000001
TPC-H 20,JoinHashLeft,72,45,0.000010,0.000001
TPC-H 20,JoinHashLeft,8000,72,8000.000000,0.000010
TPC-H 20,Aggregate,79,45,0.000001,0.000001
TPC-H 20,TableScan,2000,18,2000.000000,0.000002
TPC-H 20,JoinHashRight,72,558,0.000010,0.000010
TPC-H 20,JoinHashLeft,60175,558,60175.000000,0.000073
TPC-H 20,JoinHashRight,72,558,0.000010,0.000073
TPC-H 21,JoinHashRight,7239,54,9660.646484,2406.049561
TPC-H 21,JoinHashRight,7304,725,7304.000000,2406.049561
TPC-H 21,TableScan,7239,5088,9660.646484,9660.646484
TPC-H 21,JoinHashLeft,60175,7239,60175.000000,9660.646484
TPC-H 21,JoinHashRight,4,1543,4.000000,2407.000000
TPC-H 21,TableScan,2447,1543,2407.000000,2407.000000
TPC-H 21,TableScan,15000,7304,15000.000000,7304.000000
TPC-H 21,JoinHashLeft,100,4,100.000000,4.000000
TPC-H 21,JoinHashRight,1,4,1.000000,4.000000
TPC-H 21,JoinHashLeft,60175,2447,60175.000000,2407.000000
TPC-H 21,JoinHashRight,4,2447,4.000000,2407.000000
TPC-H 21,TableScan,25,1,25.000000,1.000000
TPC-H 22,JoinHashRight,15000,59,15000.000000,1500.000000
TPC-H 22,TableScan,1500,672,1500.000000,1500.000000
