name,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H 016,TableScan,60175,59775,60175.000000,60149.972656
TPC-H 0216,TableScan,2000,27,2000.000000,40.024391
TPC-H 0217,JoinHashLeft,8000,36,8000.000000,16.009756
TPC-H 0218,JoinHashLeft,100,12,100.000000,19.999998
TPC-H 0219,JoinHashLeft,100,12,100.000000,19.999998
TPC-H 0220,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0224,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0229,TableScan,5,1,5.000000,1.000000
TPC-H 0230,TableScan,5,1,5.000000,1.000000
TPC-H 0311,JoinHashLeft,60175,4911,60175.000000,9619.386719
TPC-H 0312,JoinHashLeft,15000,2536,15000.000000,4290.568848
TPC-H 0316,TableScan,1500,288,1500.000000,287.000000
TPC-H 046,TableScan,15000,544,15000.000000,0.009752
TPC-H 049,JoinHashLeft,60175,2227,60175.000000,0.039105
TPC-H 055,JoinHashRight,1500,1863,1500.000000,2186.915771
TPC-H 0513,TableScan,15000,2303,15000.000000,2726.991943
TPC-H 0518,JoinHashLeft,60175,9284,60175.000000,10934.579102
TPC-H 0519,JoinHashLeft,100,20,100.000000,19.999998
TPC-H 0520,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0525,TableScan,5,1,5.000000,1.000000
TPC-H 066,TableScan,60175,9200,60175.000000,12888.970703
TPC-H 0720,JoinHashLeft,100,7,100.000000,4.000000
TPC-H 0721,TableScan,25,1,25.000000,1.000000
TPC-H 0722,TableScan,25,1,25.000000,1.000000
TPC-H 0724,JoinHashLeft,15000,1207,15000.000000,896.982849
TPC-H 0729,JoinHashLeft,60175,4175,60175.000000,2406.999756
TPC-H 0731,JoinHashLeft,1500,117,1500.000000,60.000000
TPC-H 087,JoinHashLeft,25,34,25.000000,68.756012
TPC-H 089,JoinHashLeft,100,34,100.000000,68.756012
TPC-H 0816,JoinHashLeft,1500,302,1500.000000,300.000000
TPC-H 0822,JoinHashLeft,60175,475,60175.000000,394.941742
TPC-H 0823,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0824,JoinHashLeft,15000,468,15000.000000,394.782196
TPC-H 0829,TableScan,2000,16,2000.000000,13.126437
TPC-H 0830,TableScan,5,1,5.000000,1.000000
TPC-H 099,JoinHashLeft,8000,436,8000.000000,800.000000
TPC-H 0910,JoinHashLeft,15000,3370,15000.000000,6012.971680
TPC-H 0911,JoinHashLeft,100,100,100.000000,100.000000
TPC-H 0911,JoinHashRight,25,100,25.000000,100.000000
TPC-H 0917,JoinHashLeft,60175,3370,60175.000000,6017.500977
TPC-H 0923,TableScan,2000,109,2000.000000,200.000000
TPC-H 1011,JoinHashLeft,1500,1500,1500.000000,1500.000000
TPC-H 1011,JoinHashRight,25,1500,25.000000,1500.000000
TPC-H 1012,JoinHashLeft,60175,2146,60175.000000,10933.382812
TPC-H 1013,TableScan,15000,531,15000.000000,2726.693359
TPC-H 116,JoinHashLeft,8000,560,8000.000000,319.999969
TPC-H 119,JoinHashLeft,100,7,100.000000,4.000000
TPC-H 1112,TableScan,25,1,25.000000,1.000000
TPC-H 128,JoinHashLeft,15000,282,15000.000000,552.848755
TPC-H 1214,TableScan,60175,8777,60175.000000,3880.047607
TPC-H 135,JoinHashLeft,1500,15335,1500.000000,13499.999023
TPC-H 139,TableScan,15000,14835,15000.000000,13500.000000
TPC-H 144,JoinHashRight,2000,770,2000.000000,798.072754
TPC-H 147,TableScan,60175,770,60175.000000,798.072693
TPC-H 153,JoinHashRight,100,1,100.000000,2456.682617
TPC-H 1511,TableScan,60175,2247,60175.000000,2456.682617
TPC-H 1610,JoinHashLeft,8000,1232,8000.000000,735.742065
TPC-H 1611,TableScan,100,0,100.000000,10.000000
TPC-H 1617,TableScan,2000,332,2000.000000,316.396332
TPC-H 179,JoinHashLeft,60175,62,60175.000000,57.927895
TPC-H 1712,TableScan,2000,30,2000.000000,48.619049
TPC-H 184,JoinHashLeft,60175,0,60175.000000,60030.023438
TPC-H 186,JoinHashRight,1500,0,1500.000000,14962.433594
TPC-H 1810,JoinHashLeft,15000,0,15000.000000,14962.432617
TPC-H 1815,Aggregate,60175,15000,60175.000000,60175.000000
TPC-H 1932,TableScan,2000,74,2000.000000,80.533333
TPC-H 1935,JoinHashLeft,60175,50,60175.000000,120.349983
TPC-H 1937,TableScan,2000,77,2000.000000,80.533333
TPC-H 1938,TableScan,2000,80,2000.000000,80.533333
TPC-H 205,JoinHashLeft,100,39,100.000000,0.000001
TPC-H 209,JoinHashLeft,25,23,25.000000,0.000001
TPC-H 2014,JoinHashLeft,8000,72,8000.000000,0.000006
TPC-H 2021,TableScan,2000,18,2000.000000,0.000002
TPC-H 2024,JoinHashLeft,60175,558,60175.000000,0.000048
TPC-H 219,JoinHashLeft,60175,7239,60175.000000,9662.411133
TPC-H 2115,TableScan,15000,7304,15000.000000,7318.500000
TPC-H 2117,JoinHashLeft,100,4,100.000000,4.000000
TPC-H 2119,JoinHashLeft,60175,2447,60175.000000,2406.999756
TPC-H 2122,TableScan,25,1,25.000000,1.000000
TPC-H 225,JoinHashRight,15000,59,15000.000000,1500.000000
TPC-H 228,TableScan,1500,672,1500.000000,1500.000000
