HISTOGRAM_NAME,QUERY_NO,BUILD_TIME
MaxDiffFrequencyHistogram,1,8.64091
MaxDiffFrequencyHistogram,2,0.38303
MaxDiffFrequencyHistogram,3,3.51683
MaxDiffFrequencyHistogram,4,2.20101
MaxDiffFrequencyHistogram,5,6.62819
MaxDiffFrequencyHistogram,6,0.332534
MaxDiffFrequencyHistogram,7,11.7947
MaxDiffFrequencyHistogram,8,1.68316
MaxDiffFrequencyHistogram,9,9.89235
MaxDiffFrequencyHistogram,10,4.03641
MaxDiffFrequencyHistogram,11,0.130559
MaxDiffFrequencyHistogram,12,1.62875
MaxDiffFrequencyHistogram,13,14.8352
MaxDiffFrequencyHistogram,14,0.909815
MaxDiffFrequencyHistogram,15,0.970367
MaxDiffFrequencyHistogram,16,0.877588
MaxDiffFrequencyHistogram,17,0.52925
MaxDiffFrequencyHistogram,18,11.549
MaxDiffFrequencyHistogram,19,0.852389
MaxDiffFrequencyHistogram,20,0.822722
MaxDiffFrequencyHistogram,21,10.2657
MaxDiffFrequencyHistogram,22,0.923841
EqualDistinctCountHistogram,1,9.10514
EqualDistinctCountHistogram,2,0.15716
EqualDistinctCountHistogram,3,3.67841
EqualDistinctCountHistogram,4,2.93565
EqualDistinctCountHistogram,5,8.33186
EqualDistinctCountHistogram,6,0.57226
EqualDistinctCountHistogram,7,3.00023
EqualDistinctCountHistogram,8,1.85805
EqualDistinctCountHistogram,9,12.5895
EqualDistinctCountHistogram,10,5.28777
EqualDistinctCountHistogram,11,0.358741
EqualDistinctCountHistogram,12,2.38405
EqualDistinctCountHistogram,13,8.99499
EqualDistinctCountHistogram,14,0.935186
EqualDistinctCountHistogram,15,0.568339
EqualDistinctCountHistogram,16,1.03427
EqualDistinctCountHistogram,17,0.693723
EqualDistinctCountHistogram,18,2.90119
EqualDistinctCountHistogram,19,0.734217
EqualDistinctCountHistogram,20,1.09081
EqualDistinctCountHistogram,21,7.59261
EqualDistinctCountHistogram,22,1.01309
