benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-DS,MaxDiffAreaHistogram,01,0,JoinHashLeft,2000000,558900,2000000.000000,15290.688477,100
TPC-DS,MaxDiffAreaHistogram,01,1,JoinHashLeft,28795080,5580151,28795080.000000,125474.312500,100
TPC-DS,MaxDiffAreaHistogram,01,2,TableScan,402,45,402.000000,45.000000,100
TPC-DS,MaxDiffAreaHistogram,01,3,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,03,0,TableScan,73049,6000,73049.000000,6000.000000,100
TPC-DS,MaxDiffAreaHistogram,03,1,TableScan,204000,359,204000.000000,362.000000,100
TPC-DS,MaxDiffAreaHistogram,03,2,JoinHashLeft,287997024,497150,287997024.000000,511052.968750,100
TPC-DS,MaxDiffAreaHistogram,06,0,JoinHashLeft,204000,20279,204000.000000,204000.000000,100
TPC-DS,MaxDiffAreaHistogram,06,1,JoinHashLeft,2000000,2000000,2000000.000000,2000000.125000,100
TPC-DS,MaxDiffAreaHistogram,06,2,JoinHashRight,1000000,2000000,1000000.000000,2000000.125000,100
TPC-DS,MaxDiffAreaHistogram,06,3,JoinHashLeft,287997024,2913776,287997024.000000,3212733.500000,100
TPC-DS,MaxDiffAreaHistogram,06,4,Aggregate,204000,11,204000.000000,204000.000000,100
TPC-DS,MaxDiffAreaHistogram,06,5,JoinHashLeft,73049,31,73049.000000,851.763062,100
TPC-DS,MaxDiffAreaHistogram,06,6,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,07,0,JoinHashLeft,204000,103381,204000.000000,25865.013672,100
TPC-DS,MaxDiffAreaHistogram,07,1,JoinHashLeft,287997024,55293752,287997024.000000,1244137.375000,100
TPC-DS,MaxDiffAreaHistogram,07,2,TableScan,1000,987,1000.000000,987.000000,100
TPC-DS,MaxDiffAreaHistogram,07,3,TableScan,1000,986,1000.000000,986.000000,100
TPC-DS,MaxDiffAreaHistogram,07,4,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000,100
TPC-DS,MaxDiffAreaHistogram,09,0,TableScan,55,1,55.000000,1.000000,100
TPC-DS,MaxDiffAreaHistogram,10,0,JoinHashLeft,287997024,10873057,287997024.000000,409591.750000,100
TPC-DS,MaxDiffAreaHistogram,10,1,JoinHashLeft,1920800,17887,1920800.000000,908.825562,100
TPC-DS,MaxDiffAreaHistogram,10,2,JoinHashLeft,2000000,18671,2000000.000000,941.759460,100
TPC-DS,MaxDiffAreaHistogram,10,3,JoinHashLeft,72001237,2847826,72001240.000000,107199.703125,100
TPC-DS,MaxDiffAreaHistogram,10,4,JoinHashLeft,143997065,5396375,143997072.000000,213372.921875,100
TPC-DS,MaxDiffAreaHistogram,10,5,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,10,6,TableScan,1000000,625,1000000.000000,460.980774,100
TPC-DS,MaxDiffAreaHistogram,10,7,TableScan,1000000,309,1000000.000000,499.705902,100
TPC-DS,MaxDiffAreaHistogram,10,8,TableScan,1000000,320,1000000.000000,456.537323,100
TPC-DS,MaxDiffAreaHistogram,10,9,TableScan,1000000,308,1000000.000000,407.529419,100
TPC-DS,MaxDiffAreaHistogram,10,10,TableScan,1000000,7804,1000000.000000,2930.000000,100
TPC-DS,MaxDiffAreaHistogram,13,0,JoinHashLeft,7200,7951,7200.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,13,1,JoinHashRight,7200,649853,7200.000000,0.000294,100
TPC-DS,MaxDiffAreaHistogram,13,2,JoinHashLeft,402,201,402.000000,0.095899,100
TPC-DS,MaxDiffAreaHistogram,13,3,JoinHashLeft,1920800,429978,1920800.000000,0.000294,100
TPC-DS,MaxDiffAreaHistogram,13,4,JoinHashLeft,1000000,934909,1000000.000000,2550.304932,100
TPC-DS,MaxDiffAreaHistogram,13,5,JoinHashLeft,287997024,54727485,287997024.000000,1244137.375000,100
TPC-DS,MaxDiffAreaHistogram,13,6,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,15,0,JoinHashLeft,143997065,4128360,0.000000,0.000000,100
