HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT,SAMPLING_RATE
MaxDiffFrequencyHistogram,int,0,204000,100,0.0518226,1,100
MaxDiffFrequencyHistogram,string,1,204000,100,0.129678,1,100
MaxDiffFrequencyHistogram,string,2,203478,4,0.0181491,1,100
MaxDiffFrequencyHistogram,string,3,102000,3,0.0174164,1,100
MaxDiffFrequencyHistogram,string,4,203492,100,0.268705,1,100
MaxDiffFrequencyHistogram,float,5,203482,100,0.015574,1,100
MaxDiffFrequencyHistogram,float,6,203511,100,0.0143098,1,100
MaxDiffFrequencyHistogram,int,7,203484,100,0.00692585,1,100
MaxDiffFrequencyHistogram,string,8,203490,100,0.0344457,1,100
MaxDiffFrequencyHistogram,int,9,203509,16,0.00383637,1,100
MaxDiffFrequencyHistogram,string,10,203501,99,0.0296216,1,100
MaxDiffFrequencyHistogram,int,11,203485,10,0.00380647,1,100
MaxDiffFrequencyHistogram,string,12,203518,10,0.0142286,1,100
MaxDiffFrequencyHistogram,int,13,203502,100,0.00435181,1,100
MaxDiffFrequencyHistogram,string,14,203456,100,0.0287457,1,100
MaxDiffFrequencyHistogram,string,15,203485,7,0.0268436,1,100
MaxDiffFrequencyHistogram,string,16,203470,100,0.204048,1,100
MaxDiffFrequencyHistogram,string,17,203476,92,0.0296691,1,100
MaxDiffFrequencyHistogram,string,18,203497,21,0.0212066,1,100
MaxDiffFrequencyHistogram,string,19,203490,1,0.0206447,1,100
MaxDiffFrequencyHistogram,int,20,203494,100,0.00286813,1,100
MaxDiffFrequencyHistogram,string,21,203486,100,0.224436,1,100
MaxDiffFrequencyHistogram,int,0,86400,43,0.0107924,1,100
MaxDiffFrequencyHistogram,string,1,86400,43,0.109463,1,100
MaxDiffFrequencyHistogram,int,2,86400,43,0.0196299,1,100
MaxDiffFrequencyHistogram,int,3,86400,24,0.00131726,1,100
MaxDiffFrequencyHistogram,int,4,86400,43,0.00131261,1,100
MaxDiffFrequencyHistogram,int,5,86400,43,0.00106473,1,100
MaxDiffFrequencyHistogram,string,6,86400,2,0.00935651,1,100
MaxDiffFrequencyHistogram,string,7,86400,3,0.0115898,1,100
MaxDiffFrequencyHistogram,string,8,86400,4,0.0103923,1,100
MaxDiffFrequencyHistogram,string,9,36000,3,0.00601759,1,100
MaxDiffFrequencyHistogram,int,0,1.43278e+08,100,0.642172,1,100
MaxDiffFrequencyHistogram,int,1,1.43277e+08,100,0.81365,1,100
MaxDiffFrequencyHistogram,int,2,1.43278e+08,100,0.658376,1,100
MaxDiffFrequencyHistogram,int,3,1.43278e+08,100,1.41765,1,100
MaxDiffFrequencyHistogram,int,4,1.4328e+08,100,1.39745,1,100
MaxDiffFrequencyHistogram,int,5,1.43277e+08,100,0.667659,1,100
MaxDiffFrequencyHistogram,int,6,1.43278e+08,100,1.18642,1,100
MaxDiffFrequencyHistogram,int,7,1.43279e+08,100,1.39861,1,100
MaxDiffFrequencyHistogram,int,8,1.43282e+08,100,1.3963,1,100
MaxDiffFrequencyHistogram,int,9,1.43277e+08,100,0.663637,1,100
MaxDiffFrequencyHistogram,int,10,1.43279e+08,100,1.18498,1,100
MaxDiffFrequencyHistogram,int,11,1.43277e+08,30,0.63503,1,100
MaxDiffFrequencyHistogram,int,12,1.43278e+08,100,0.623967,1,100
MaxDiffFrequencyHistogram,int,13,1.43277e+08,20,0.629075,1,100
