HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT,SAMPLING_RATE
MaxDiffAreaHistogram,int,0,20,5,0.00234501,1,100
MaxDiffAreaHistogram,string,6,14,5,0.00321514,1,100
MaxDiffAreaHistogram,string,7,14,5,0.00187654,1,100
MaxDiffAreaHistogram,string,5,14,5,0.00376067,1,100
MaxDiffAreaHistogram,string,4,14,5,0.00390746,1,100
MaxDiffAreaHistogram,string,1,20,5,0.000973222,1,100
MaxDiffAreaHistogram,string,8,15,5,0.00160704,1,100
MaxDiffAreaHistogram,int,4,2020,5,0.00122894,1,100
MaxDiffAreaHistogram,int,19,73049,36,0.00463716,1,100
MaxDiffAreaHistogram,string,9,15,5,0.000927685,1,100
MaxDiffAreaHistogram,string,10,15,5,0.000690187,1,100
MaxDiffAreaHistogram,string,2,20,5,0.0011003,1,100
MaxDiffAreaHistogram,int,0,15,5,0.000498559,1,100
MaxDiffAreaHistogram,int,5,2021,5,0.00093536,1,100
MaxDiffAreaHistogram,string,3,20,4,0.000422101,1,100
MaxDiffAreaHistogram,string,11,15,5,0.000386086,1,100
MaxDiffAreaHistogram,string,4,20,5,0.000356125,1,100
MaxDiffAreaHistogram,string,1,15,5,0.000348666,1,100
MaxDiffAreaHistogram,string,6,2015,2,0.000808974,1,100
MaxDiffAreaHistogram,int,9,73049,31,0.00194659,1,100
MaxDiffAreaHistogram,string,5,20,5,0.000475714,1,100
MaxDiffAreaHistogram,string,12,15,1,0.000467665,1,100
MaxDiffAreaHistogram,int,7,569,5,0.000671004,1,100
MaxDiffAreaHistogram,float,13,14,2,0.00020862,1,100
MaxDiffAreaHistogram,string,2,14,5,0.000465949,1,100
MaxDiffAreaHistogram,string,9,987,1,0.000477563,1,100
MaxDiffAreaHistogram,int,20,73049,36,0.00339298,1,100
MaxDiffAreaHistogram,int,3,14,5,0.000588795,1,100
MaxDiffAreaHistogram,string,10,986,1,0.000380523,1,100
MaxDiffAreaHistogram,string,8,2015,1,0.000751823,1,100
MaxDiffAreaHistogram,int,0,1000,5,0.000722531,1,100
MaxDiffAreaHistogram,string,11,986,1,0.000264559,1,100
MaxDiffAreaHistogram,int,10,73049,4,0.00199969,1,100
MaxDiffAreaHistogram,string,18,73049,2,0.0109436,1,100
MaxDiffAreaHistogram,string,1,1000,5,0.00226759,1,100
MaxDiffAreaHistogram,string,12,987,1,0.000519886,1,100
MaxDiffAreaHistogram,int,2,983,5,0.000570242,1,100
MaxDiffAreaHistogram,int,8,73049,12,0.00161467,1,100
MaxDiffAreaHistogram,string,13,985,1,0.000263518,1,100
MaxDiffAreaHistogram,int,3,988,5,0.000565188,1,100
MaxDiffAreaHistogram,string,14,986,1,0.000270848,1,100
MaxDiffAreaHistogram,int,4,986,5,0.000958279,1,100
MaxDiffAreaHistogram,string,15,984,1,0.000262105,1,100
MaxDiffAreaHistogram,float,5,986,1,0.000315283,1,100
MaxDiffAreaHistogram,string,23,73049,1,0.00900478,1,100
MaxDiffAreaHistogram,string,16,990,5,0.00206016,1,100
MaxDiffAreaHistogram,string,9,2021,5,0.000766482,1,100
MaxDiffAreaHistogram,int,6,981,1,0.000243277,1,100
MaxDiffAreaHistogram,string,17,987,1,0.000352406,1,100
MaxDiffAreaHistogram,string,7,982,5,0.000405362,1,100
MaxDiffAreaHistogram,string,18,981,1,0.000304733,1,100
MaxDiffAreaHistogram,string,8,987,2,0.000324518,1,100
MaxDiffAreaHistogram,string,24,73049,1,0.00865476,1,100
MaxDiffAreaHistogram,int,4,1.26545e+06,20,0.0220137,1,100
MaxDiffAreaHistogram,int,13,73049,36,0.00421938,1,100
MaxDiffAreaHistogram,int,10,2015,5,0.00123727,1,100
MaxDiffAreaHistogram,int,8,1.26545e+06,7,0.0237512,1,100
MaxDiffAreaHistogram,int,7,1.26545e+06,7,0.0250402,1,100
MaxDiffAreaHistogram,int,6,1.26545e+06,7,0.0254813,1,100
MaxDiffAreaHistogram,int,14,1.24092e+06,100,0.0253554,1,100
MaxDiffAreaHistogram,int,0,2040,5,0.0017487,1,100
MaxDiffAreaHistogram,int,11,2024,5,0.000373987,1,100
MaxDiffAreaHistogram,int,12,2020,5,0.000315908,1,100
MaxDiffAreaHistogram,int,13,2019,5,0.00031533,1,100
MaxDiffAreaHistogram,string,3,1020,3,0.000398329,1,100
MaxDiffAreaHistogram,string,2,2019,4,0.000559719,1,100
MaxDiffAreaHistogram,string,1,2040,5,0.00250841,1,100
MaxDiffAreaHistogram,int,3,73049,36,0.00198134,1,100
MaxDiffAreaHistogram,string,25,73049,2,0.00960842,1,100
MaxDiffAreaHistogram,int,22,73049,36,0.021586,1,100
MaxDiffAreaHistogram,string,26,73049,2,0.00865143,1,100
MaxDiffAreaHistogram,int,12,73049,36,0.00168558,1,100
MaxDiffAreaHistogram,int,0,73049,36,0.0226561,1,100
MaxDiffAreaHistogram,string,27,73049,2,0.0090427,1,100
MaxDiffAreaHistogram,int,21,73049,36,0.0262631,1,100
MaxDiffAreaHistogram,string,14,73049,7,0.0140183,1,100
MaxDiffAreaHistogram,int,11,73049,36,0.00223955,1,100
MaxDiffAreaHistogram,string,16,73049,2,0.00803386,1,100
MaxDiffAreaHistogram,int,6,73049,36,0.00138492,1,100
MaxDiffAreaHistogram,int,4,73049,36,0.00427038,1,100
MaxDiffAreaHistogram,string,17,73049,2,0.00846251,1,100
MaxDiffAreaHistogram,string,15,73049,36,0.0125443,1,100
MaxDiffAreaHistogram,int,7,73049,7,0.00119972,1,100
MaxDiffAreaHistogram,int,5,73049,36,0.00149859,1,100
MaxDiffAreaHistogram,int,10,2.99607e+06,100,0.0541434,1,100
MaxDiffAreaHistogram,float,18,1.24092e+06,100,0.0654538,1,100
MaxDiffAreaHistogram,int,0,2.99651e+06,100,0.0489509,1,100
MaxDiffAreaHistogram,string,2,1.26545e+06,5,0.131721,1,100
MaxDiffAreaHistogram,float,16,1.2412e+06,100,0.119744,1,100
MaxDiffAreaHistogram,string,1,1.26545e+06,2,0.156704,1,100
MaxDiffAreaHistogram,string,2,73049,36,0.142582,1,100
MaxDiffAreaHistogram,string,5,1.26545e+06,4,0.195735,1,100
MaxDiffAreaHistogram,string,3,1.26545e+06,7,0.197165,1,100
MaxDiffAreaHistogram,string,3,969822,100,0.216677,1,100
MaxDiffAreaHistogram,float,21,1.24136e+06,100,0.228344,1,100
MaxDiffAreaHistogram,string,1,73049,36,0.237587,1,100
MaxDiffAreaHistogram,float,19,1.24106e+06,100,0.244478,1,100
MaxDiffAreaHistogram,int,11,1.24104e+06,100,0.0224067,1,100
MaxDiffAreaHistogram,int,9,1.24095e+06,100,0.0282604,1,100
MaxDiffAreaHistogram,float,20,1.24093e+06,100,0.284831,1,100
MaxDiffAreaHistogram,float,14,2.99661e+06,100,0.146216,1,100
MaxDiffAreaHistogram,float,22,1.24056e+06,100,0.230795,1,100
MaxDiffAreaHistogram,float,15,1.24113e+06,100,0.341484,1,100
MaxDiffAreaHistogram,int,1,1.24077e+06,100,0.0799032,1,100
MaxDiffAreaHistogram,string,4,969876,20,0.135528,1,100
