HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT,SAMPLING_RATE
MaxDiffFrequencyHistogram,int,0,204000,100,0.0663833,1,100
MaxDiffFrequencyHistogram,string,1,204000,100,0.182101,1,100
MaxDiffFrequencyHistogram,string,2,203478,4,0.0357531,1,100
MaxDiffFrequencyHistogram,string,3,102000,3,0.0228389,1,100
MaxDiffFrequencyHistogram,string,4,203492,100,0.327014,1,100
MaxDiffFrequencyHistogram,float,5,203482,100,0.00935944,1,100
MaxDiffFrequencyHistogram,float,6,203511,100,0.00804463,1,100
MaxDiffFrequencyHistogram,int,7,203484,100,0.00287637,1,100
MaxDiffFrequencyHistogram,string,8,203490,100,0.0537471,1,100
MaxDiffFrequencyHistogram,int,9,203509,16,0.00173455,1,100
MaxDiffFrequencyHistogram,string,10,203501,99,0.0381833,1,100
MaxDiffFrequencyHistogram,int,11,203485,10,0.00175493,1,100
MaxDiffFrequencyHistogram,string,12,203518,10,0.0362253,1,100
MaxDiffFrequencyHistogram,int,13,203502,100,0.00198383,1,100
MaxDiffFrequencyHistogram,string,14,203456,100,0.0390594,1,100
MaxDiffFrequencyHistogram,string,15,203485,7,0.03584,1,100
MaxDiffFrequencyHistogram,string,16,203470,100,0.256293,1,100
MaxDiffFrequencyHistogram,string,17,203476,92,0.0369035,1,100
MaxDiffFrequencyHistogram,string,18,203497,21,0.0365071,1,100
MaxDiffFrequencyHistogram,string,19,203490,1,0.035631,1,100
MaxDiffFrequencyHistogram,int,20,203494,100,0.00174713,1,100
MaxDiffFrequencyHistogram,string,21,203486,100,0.296047,1,100
MaxDiffFrequencyHistogram,int,0,86400,43,0.016923,1,100
MaxDiffFrequencyHistogram,string,1,86400,43,0.118197,1,100
MaxDiffFrequencyHistogram,int,2,86400,43,0.0176227,1,100
MaxDiffFrequencyHistogram,int,3,86400,24,0.000753938,1,100
MaxDiffFrequencyHistogram,int,4,86400,43,0.000762433,1,100
MaxDiffFrequencyHistogram,int,5,86400,43,0.000754575,1,100
MaxDiffFrequencyHistogram,string,6,86400,2,0.0145487,1,100
MaxDiffFrequencyHistogram,string,7,86400,3,0.0148708,1,100
MaxDiffFrequencyHistogram,string,8,86400,4,0.0147796,1,100
MaxDiffFrequencyHistogram,string,9,36000,3,0.00845836,1,100
MaxDiffFrequencyHistogram,int,0,6.47174e+06,100,0.0559095,1,100
MaxDiffFrequencyHistogram,int,1,6.47205e+06,100,0.0837073,1,100
MaxDiffFrequencyHistogram,int,2,6.4722e+06,100,0.0581993,1,100
MaxDiffFrequencyHistogram,int,3,6.47219e+06,100,0.27058,1,100
MaxDiffFrequencyHistogram,int,4,6.47231e+06,100,0.269087,1,100
MaxDiffFrequencyHistogram,int,5,6.47224e+06,100,0.0574837,1,100
MaxDiffFrequencyHistogram,int,6,6.4723e+06,100,0.226015,1,100
MaxDiffFrequencyHistogram,int,7,6.47188e+06,100,0.26858,1,100
MaxDiffFrequencyHistogram,int,8,6.47205e+06,100,0.268722,1,100
MaxDiffFrequencyHistogram,int,9,6.47186e+06,100,0.057393,1,100
MaxDiffFrequencyHistogram,int,10,6.4721e+06,100,0.22672,1,100
MaxDiffFrequencyHistogram,int,11,6.47221e+06,30,0.0538394,1,100
MaxDiffFrequencyHistogram,int,12,6.47206e+06,100,0.0733829,1,100
MaxDiffFrequencyHistogram,int,13,6.47201e+06,20,0.0536451,1,100
MaxDiffFrequencyHistogram,int,14,6.47207e+06,15,0.054224,1,100
MaxDiffFrequencyHistogram,int,15,6.50464e+06,100,0.153966,1,100
MaxDiffFrequencyHistogram,int,16,6.472e+06,100,0.0577986,1,100
MaxDiffFrequencyHistogram,int,17,6.50464e+06,100,1.28892,1,100
MaxDiffFrequencyHistogram,int,18,6.47236e+06,100,0.0542678,1,100
MaxDiffFrequencyHistogram,float,19,6.4716e+06,100,0.203806,1,100
MaxDiffFrequencyHistogram,float,20,6.47227e+06,100,0.242602,1,100
MaxDiffFrequencyHistogram,float,21,6.47217e+06,100,0.223112,1,100
MaxDiffFrequencyHistogram,float,22,6.47235e+06,100,0.565098,1,100
MaxDiffFrequencyHistogram,float,23,6.47218e+06,100,0.546468,1,100
MaxDiffFrequencyHistogram,float,24,6.47206e+06,100,0.426054,1,100
MaxDiffFrequencyHistogram,float,25,6.47193e+06,100,0.670534,1,100
MaxDiffFrequencyHistogram,float,26,6.47209e+06,100,0.261751,1,100
MaxDiffFrequencyHistogram,float,27,6.47217e+06,100,0.267949,1,100
MaxDiffFrequencyHistogram,float,28,6.47216e+06,100,0.402569,1,100
MaxDiffFrequencyHistogram,float,29,6.47208e+06,100,0.587217,1,100
MaxDiffFrequencyHistogram,float,30,6.4722e+06,100,0.719613,1,100
MaxDiffFrequencyHistogram,float,31,6.50464e+06,100,0.702169,1,100
MaxDiffFrequencyHistogram,float,32,6.50464e+06,100,0.908994,1,100
MaxDiffFrequencyHistogram,float,33,6.50464e+06,100,0.693424,1,100
MaxDiffFrequencyHistogram,int,0,20400,10,0.00378623,1,100
MaxDiffFrequencyHistogram,string,1,20400,10,0.0496848,1,100
MaxDiffFrequencyHistogram,int,2,20204,10,0.000205,1,100
MaxDiffFrequencyHistogram,int,3,20194,10,0.00018159,1,100
MaxDiffFrequencyHistogram,string,4,20195,1,0.00353742,1,100
MaxDiffFrequencyHistogram,int,5,20203,10,0.000206045,1,100
MaxDiffFrequencyHistogram,int,6,20192,10,0.000216361,1,100
MaxDiffFrequencyHistogram,string,7,20210,10,0.0282595,1,100
MaxDiffFrequencyHistogram,string,8,20203,3,0.00354841,1,100
MaxDiffFrequencyHistogram,int,0,7200,5,0.00113507,1,100
MaxDiffFrequencyHistogram,int,1,7200,5,7.806e-05,1,100
MaxDiffFrequencyHistogram,string,2,7200,5,0.00125558,1,100
MaxDiffFrequencyHistogram,int,3,7200,5,7.2988e-05,1,100
MaxDiffFrequencyHistogram,int,4,7200,5,8.2415e-05,1,100
MaxDiffFrequencyHistogram,int,0,6.28504e+06,100,0.0553372,1,100
MaxDiffFrequencyHistogram,int,1,6.28498e+06,100,0.0677942,1,100
MaxDiffFrequencyHistogram,int,2,6.51318e+06,100,0.156505,1,100
MaxDiffFrequencyHistogram,int,3,6.28482e+06,100,0.668413,1,100
MaxDiffFrequencyHistogram,int,4,6.28607e+06,100,0.684249,1,100
MaxDiffFrequencyHistogram,int,5,6.2849e+06,100,0.0578045,1,100
MaxDiffFrequencyHistogram,int,6,6.28606e+06,100,0.413208,1,100
MaxDiffFrequencyHistogram,int,7,6.28558e+06,100,0.0547116,1,100
MaxDiffFrequencyHistogram,int,8,6.28576e+06,55,0.0545587,1,100
MaxDiffFrequencyHistogram,int,9,6.51318e+06,100,2.6171,1,100
MaxDiffFrequencyHistogram,int,10,6.28563e+06,100,0.0540281,1,100
MaxDiffFrequencyHistogram,float,11,6.28571e+06,100,0.400141,1,100
MaxDiffFrequencyHistogram,float,12,6.28528e+06,100,0.230581,1,100
MaxDiffFrequencyHistogram,float,13,6.28582e+06,100,0.513313,1,100
MaxDiffFrequencyHistogram,float,14,6.28526e+06,100,0.200337,1,100
MaxDiffFrequencyHistogram,float,15,6.28519e+06,100,0.320567,1,100
MaxDiffFrequencyHistogram,float,16,6.28526e+06,100,0.397568,1,100
MaxDiffFrequencyHistogram,float,17,6.2846e+06,100,0.360318,1,100
MaxDiffFrequencyHistogram,float,18,6.28513e+06,100,0.343996,1,100
MaxDiffFrequencyHistogram,float,19,6.28543e+06,100,0.39735,1,100
MaxDiffFrequencyHistogram,int,0,6.54017e+06,100,0.0562986,1,100
MaxDiffFrequencyHistogram,int,1,6.54017e+06,100,0.11098,1,100
MaxDiffFrequencyHistogram,int,2,6.54017e+06,100,0.156023,1,100
MaxDiffFrequencyHistogram,int,3,6.4099e+06,100,0.654488,1,100
MaxDiffFrequencyHistogram,int,4,6.40936e+06,100,0.678086,1,100
MaxDiffFrequencyHistogram,int,5,6.40943e+06,100,0.0579295,1,100
MaxDiffFrequencyHistogram,int,6,6.40967e+06,100,0.388581,1,100
MaxDiffFrequencyHistogram,int,7,6.40924e+06,100,0.692309,1,100
MaxDiffFrequencyHistogram,int,8,6.40941e+06,100,0.677468,1,100
MaxDiffFrequencyHistogram,int,9,6.4091e+06,100,0.0581263,1,100
MaxDiffFrequencyHistogram,int,10,6.40901e+06,100,0.400935,1,100
MaxDiffFrequencyHistogram,int,11,6.40882e+06,30,0.0545876,1,100
MaxDiffFrequencyHistogram,int,12,6.40987e+06,100,0.0912462,1,100
MaxDiffFrequencyHistogram,int,13,6.40964e+06,20,0.0545356,1,100
MaxDiffFrequencyHistogram,int,14,6.40923e+06,15,0.0545381,1,100
